 ;spi/pic   06-DEC-2006 AT 14:22:58   align_01_002.pic
 ;                   PSI,       THE,        PHI,         REF#,        EXP# ,    CUM. {INPLANE,    SX,       SY,         NPROJ},        DIFF,     CCROT        INPLANE,      SX,      SY
        35   15   0.0000       45.000       71.980       20.000       35.000       214.04      -4.2797      -2.9483       1.0000      -1.0000       1125.7       214.04      -4.2797      -2.9483       1.0000     
        36   15   0.0000       45.000       311.91       30.000       36.000       250.88       5.3618      -1.7181       1.0000      -1.0000       946.94       250.88       5.3618      -1.7181       1.0000     
        37   15   0.0000       270.00       147.23       82.000       37.000       220.44       8.2335       3.4943       1.0000      -1.0000       1256.1       220.44       8.2335       3.4943      -1.0000     
        38   15   0.0000       225.00       239.93       27.000       38.000       140.76      -5.8434      0.75273       1.0000      -1.0000       1112.1       140.76      -5.8434      0.75273      -1.0000     
        39   15   0.0000       240.00       265.19       46.000       39.000       281.89       3.6053       7.4163       1.0000      -1.0000       1140.2       281.89       3.6053       7.4163      -1.0000     
        40   15   0.0000       60.000       265.19       46.000       40.000       304.39     -0.12443      -6.5423       1.0000      -1.0000       1727.8       304.39     -0.12443      -6.5423       1.0000     
        41   15   0.0000       60.000       322.02       49.000       41.000       306.59       5.9850       3.0298       1.0000      -1.0000       1371.2       306.59       5.9850       3.0298       1.0000     
        42   15   0.0000       15.000       287.92       6.0000       42.000       272.21       3.7800       3.8383       1.0000      -1.0000       923.01       272.21       3.7800       3.8383       1.0000     
        43   15   0.0000       240.00       170.48       41.000       43.000       201.65       4.8105       6.6977       1.0000      -1.0000       1116.6       201.65       4.8105       6.6977      -1.0000     
        44   15   0.0000       255.00       98.155       57.000       44.000       313.76       7.1613      -4.0885       1.0000      -1.0000       1429.6       313.76       7.1613      -4.0885      -1.0000     
        45   15   0.0000       240.00       227.31       44.000       45.000       207.42       7.2351       5.2587       1.0000      -1.0000       1279.7       207.42       7.2351       5.2587      -1.0000     
        46   15   0.0000       15.000       143.96       4.0000       46.000       152.80      -3.6573       7.1151       1.0000      -1.0000       1016.7       152.80      -3.6573       7.1151       1.0000     
        47   15   0.0000       60.000       265.19       46.000       47.000       133.71     -0.25417       11.311       1.0000      -1.0000       1425.6       133.71     -0.25417       11.311       1.0000     
        48   15   0.0000       225.00       95.973       21.000       48.000       321.76       7.6322       1.8080       1.0000      -1.0000       1365.9       321.76       7.6322       1.8080      -1.0000     
        49   15   0.0000       225.00       239.93       27.000       49.000       204.21      -4.8439       1.8997       1.0000      -1.0000       1161.5       204.21      -4.8439       1.8997      -1.0000     
        50   15   0.0000       75.000       16.359       52.000       50.000       177.19      -1.6048      -8.0886       1.0000      -1.0000       1152.2       177.19      -1.6048      -8.0886       1.0000     
