
 ;spi/dat   12-SEP-2013 AT 11:07:11   ctf_defocu.dat

 ; CONTENTS:   MICROGRAPH DEFOCUS VALUES

 ;           MICR.  DEFOCUS  CUTOFF
      1  3      1.  69096.0  0.178
