 ;spi/dat   21-APR-2015 AT 11:41:51   ctfed_defocu.dat
 ; CONTENTS:   MICROGRAPH DEFOCUS VALUES
 ;           MICR.  DEFOCUS  CUTOFF
      1  3      1.  17318.0  0.174
