 ;spi/dat   15-JAN-2014 AT 10:53:45   rfsn_doc.dat
 ; RADIUS NORM.RAD        SSNR         NVALS       VARIANCE
  112 4  0.148000      9.982765E-02   90.0000       1.10147     
  113 4  0.149333      0.159141       98.0000       1.15418     
  114 4  0.150667       0.00000       70.0000       1.00722     
  115 4  0.152000      8.601880E-02   94.0000       1.08845     
  116 4  0.153333      0.221746       92.0000       1.20826     
  117 4  0.154667      4.109502E-03   88.0000       1.00986     
  118 4  0.156000       0.00000       88.0000       1.00573     
  119 4  0.157333       0.00000       98.0000       1.00514     
  120 4  0.158667       0.00000       94.0000       1.00536     
  121 4  0.160000       0.00000       90.0000       1.00560     
  122 4  0.161333       0.00000       96.0000       1.00525     
  123 4  0.162667      0.189838       100.000       1.18067     
  124 4  0.164000       0.00000       84.0000       1.00601     
  125 4  0.165333      0.118893       98.0000       1.11834     
  126 4  0.166667      5.444145E-02   94.0000       1.05870     
  127 4  0.168000       0.00000       114.000       1.00442     
  128 4  0.169333       0.00000       92.0000       1.00548     
  129 4  0.170667       0.00000       108.000       1.00466     
  130 4  0.172000      0.160946       100.000       1.15564     
  131 4  0.173333       0.00000       96.0000       1.00525     
  132 4  0.174667      0.147377       104.000       1.14348     
  133 4  0.176000       0.00000       102.000       1.00494     
  134 4  0.177333      2.499676E-02   98.0000       1.02996     
  135 4  0.178667      0.125413       102.000       1.12400     
  136 4  0.180000      0.165813       112.000       1.15925     
  137 4  0.181333       0.00000       116.000       1.00434     
  138 4  0.182667       0.00000       92.0000       1.00548     
  139 4  0.184000      0.146425       118.000       1.14196     
  140 4  0.185333       0.00000       102.000       1.00494     
  141 4  0.186667       0.00000       110.000       1.00458     
  142 4  0.188000       0.00000       104.000       1.00484     
  143 4  0.189333       0.00000       112.000       1.00449     
  144 4  0.190667      8.465314E-02   112.000       1.08623     
  145 4  0.192000      1.964569E-04   110.000       1.00477     
  146 4  0.193333       0.00000       122.000       1.00412     
  147 4  0.194667       0.00000       114.000       1.00442     
  148 4  0.196000      0.194231       122.000       1.18332     
  149 4  0.197333       0.00000       106.000       1.00475     
  150 4  0.198667       0.00000       124.000       1.00406     
  151 4  0.200000       0.00000       112.000       1.00449     
  152 4  0.201333       0.00000       112.000       1.00449     
  153 4  0.202667       0.00000       122.000       1.00412     
  154 4  0.204000       0.00000       126.000       1.00399     
  155 4  0.205333       0.00000       110.000       1.00458     
  156 4  0.206667      0.150958       136.000       1.14531     
  157 4  0.208000      0.266234       116.000       1.24355     
  158 4  0.209333      0.145799       120.000       1.14133     
  159 4  0.210667       0.00000       110.000       1.00458     
  160 4  0.212000       0.00000       138.000       1.00364     
  161 4  0.213333      3.630114E-02   114.000       1.04024     
  162 4  0.214667      4.654121E-02   140.000       1.04927     
  163 4  0.216000       0.00000       128.000       1.00393     
  164 4  0.217333       0.00000       124.000       1.00406     
  165 4  0.218667      4.051113E-02   124.000       1.04395     
  166 4  0.220000      0.136697       132.000       1.13281     
  167 4  0.221333      9.085047E-02   138.000       1.09105     
  168 4  0.222667       0.00000       122.000       1.00412     
  169 4  0.224000      0.106224       122.000       1.10569     
  170 4  0.225333       0.00000       140.000       1.00359     
  171 4  0.226667      0.287941       132.000       1.26037     
  172 4  0.228000      5.630600E-02   140.000       1.05860     
  173 4  0.229333       0.00000       122.000       1.00412     
  174 4  0.230667       0.00000       146.000       1.00344     
  175 4  0.232000      4.572618E-02   130.000       1.04878     
  176 4  0.233333       0.00000       140.000       1.00359     
  177 4  0.234667      1.765621E-02   132.000       1.02138     
  178 4  0.236000      1.301038E-02   140.000       1.01656     
  179 4  0.237333       0.00000       126.000       1.00399     
  180 4  0.238667       0.00000       162.000       1.00310     
  181 4  0.240000      7.429290E-02   134.000       1.07576     
  182 4  0.241333      4.624009E-03   144.000       1.00812     
  183 4  0.242667      3.137517E-02   136.000       1.03471     
  184 4  0.244000      4.934597E-02   152.000       1.05166     
  185 4  0.245333       0.00000       124.000       1.00406     
  186 4  0.246667      5.370939E-02   160.000       1.05565     
  187 4  0.248000      3.647804E-05   130.000       1.00391     
  188 4  0.249333      5.593014E-02   166.000       1.05765     
  189 4  0.250667      0.105984       124.000       1.10540     
  190 4  0.252000       0.00000       166.000       1.00303     
  191 4  0.253333       0.00000       138.000       1.00364     
  192 4  0.254667      2.854514E-02   158.000       1.03142     
  193 4  0.256000      3.389001E-03   132.000       1.00721     
  194 4  0.257333      0.126477       168.000       1.12274     
  195 4  0.258667      1.269603E-02   132.000       1.01647     
  196 4  0.260000      5.302668E-02   162.000       1.05496     
  197 4  0.261333       0.00000       150.000       1.00335     
  198 4  0.262667      4.768741E-02   174.000       1.04963     
  199 4  0.264000      0.182237       128.000       1.17281     
  200 4  0.265333       0.00000       184.000       1.00273     
  201 4  0.266667       0.00000       136.000       1.00370     
  202 4  0.268000       0.00000       176.000       1.00285     
  203 4  0.269333       0.00000       136.000       1.00370     
  204 4  0.270667      0.101929       170.000       1.10047     
  205 4  0.272000      6.657708E-02   150.000       1.06808     
  206 4  0.273333      1.584017E-02   178.000       1.01858     
  207 4  0.274667      0.206960       156.000       1.19303     
  208 4  0.276000       0.00000       180.000       1.00279     
  209 4  0.277333      5.221248E-02   132.000       1.05493     
  210 4  0.278667      0.129359       178.000       1.12513     
  211 4  0.280000      0.196138       150.000       1.18401     
  212 4  0.281333      6.639421E-02   174.000       1.06741     
  213 4  0.282667      9.680307E-02   148.000       1.09626     
  214 4  0.284000       0.00000       184.000       1.00273     
  215 4  0.285333      0.201893       168.000       1.18846     
  216 4  0.286667       0.00000       170.000       1.00295     
  217 4  0.288000       0.00000       166.000       1.00303     
  218 4  0.289333       0.00000       170.000       1.00295     
  219 4  0.290667       0.00000       162.000       1.00310     
  220 4  0.292000      0.199981       182.000       1.18656     
  221 4  0.293333       0.00000       160.000       1.00314     
  222 4  0.294667       0.00000       196.000       1.00256     
  223 4  0.296000      7.385218E-02   144.000       1.07507     
  224 4  0.297333       0.00000       202.000       1.00248     
  225 4  0.298667      5.139863E-02   158.000       1.05349     
  226 4  0.300000       0.00000       190.000       1.00264     
  227 4  0.301333      4.568100E-04   164.000       1.00352     
  228 4  0.302667      1.484680E-02   188.000       1.01745     
  229 4  0.304000       0.00000       156.000       1.00322     
  230 4  0.305333      5.973995E-02   190.000       1.06086     
  231 4  0.306667      0.114043       170.000       1.11150     
  232 4  0.308000       0.00000       214.000       1.00234     
  233 4  0.309333      4.639757E-02   144.000       1.04902     
  234 4  0.310667       0.00000       208.000       1.00241     
  235 4  0.312000      8.692026E-02   172.000       1.08662     
  236 4  0.313333       0.00000       196.000       1.00256     
  237 4  0.314667       0.00000       164.000       1.00306     
  238 4  0.316000       0.00000       202.000       1.00248     
  239 4  0.317333       0.00000       170.000       1.00295     
  240 4  0.318667       0.00000       198.000       1.00253     
  241 4  0.320000      4.305434E-02   184.000       1.04501     
  242 4  0.321333       0.00000       208.000       1.00241     
  243 4  0.322667       0.00000       156.000       1.00322     
  244 4  0.324000      0.173279       206.000       1.16330     
  245 4  0.325333       0.00000       182.000       1.00276     
  246 4  0.326667      5.055833E-02   206.000       1.05190     
  247 4  0.328000       0.00000       168.000       1.00299     
  248 4  0.329333      0.101575       208.000       1.09955     
  249 4  0.330667      8.063447E-02   188.000       1.08052     
  250 4  0.332000       0.00000       202.000       1.00248     
  251 4  0.333333      4.480731E-02   190.000       1.04661     
  252 4  0.334667       0.00000       218.000       1.00230     
  253 4  0.336000      2.630639E-02   170.000       1.02900     
  254 4  0.337333      7.212973E-02   214.000       1.07222     
  255 4  0.338667       0.00000       192.000       1.00261     
  256 4  0.340000      9.685659E-02   200.000       1.09534     
  257 4  0.341333       0.00000       188.000       1.00267     
  258 4  0.342667       0.00000       214.000       1.00234     
  259 4  0.344000       0.00000       206.000       1.00244     
  260 4  0.345333       0.00000       210.000       1.00239     
  261 4  0.346667       0.00000       188.000       1.00267     
  262 4  0.348000       0.00000       224.000       1.00224     
  263 4  0.349333      3.929782E-02   172.000       1.04159     
  264 4  0.350667      0.118955       218.000       1.11520     
  265 4  0.352000       0.00000       198.000       1.00253     
