 ;spi/dat   30-JUN-2016 AT 10:29:21   tflis_doc.dat
 ;             DEFOCUS  RAD_FIRST_MIN(PIX)  RAD_FIRST_ZERO(PIX)
 ;     998 3   48600.0       22.0000       32.0000    
 ;  -------------------
 ;             DEFOCUS  RAD_FIRST_MIN(A)  RAD_FIRST_ZERO(A)
 ;     999 3   48600.0       43.8545       31.1226    
 ;  -------------------
 ;   TRANSFER:
 ;        RAD(1/PIX),    RAD(1/A),  STRAIGHT,     -STRAIGHT,      FLIPPED,      TRAPPED,     ENVELOPE,    DIFFRACTOGRAM
   55 8  0.150000      5.597015E-02  0.246811     -0.246811      -1.00000     -0.246811       1.00000      6.091552E-02 
   56 8  0.152778      5.700663E-02  0.570221     -0.570221      -1.00000     -0.570221       1.00000      0.325152     
   57 8  0.155556      5.804312E-02  0.825289     -0.825289      -1.00000     -0.825289       1.00000      0.681102     
   58 8  0.158333      5.907960E-02  0.973759     -0.973759      -1.00000     -0.973759       1.00000      0.948206     
   59 8  0.161111      6.011609E-02  0.989150     -0.989150      -1.00000     -0.989150       1.00000      0.978418     
   60 8  0.163889      6.115257E-02  0.862286     -0.862286      -1.00000     -0.862286       1.00000      0.743537     
   61 8  0.166667      6.218905E-02  0.604891     -0.604891      -1.00000     -0.604891       1.00000      0.365893     
   62 8  0.169444      6.322554E-02  0.250257     -0.250257      -1.00000     -0.250257       1.00000      6.262850E-02 
   63 8  0.172222      6.426203E-02 -0.149725      0.149725       1.00000      0.149725       1.00000      2.241750E-02 
   64 8  0.175000      6.529851E-02 -0.531245      0.531245       1.00000      0.531245       1.00000      0.282221     
   65 8  0.177778      6.633499E-02 -0.828485      0.828485       1.00000      0.828485       1.00000      0.686387     
   66 8  0.180556      6.737147E-02 -0.985326      0.985326       1.00000      0.985326       1.00000      0.970868     
   67 8  0.183333      6.840796E-02 -0.966929      0.966929       1.00000      0.966929       1.00000      0.934951     
   68 8  0.186111      6.944444E-02 -0.768781      0.768781       1.00000      0.768781       1.00000      0.591025     
   69 8  0.188889      7.048093E-02 -0.420886      0.420886       1.00000      0.420886       1.00000      0.177145     
   70 8  0.191667      7.151741E-02  1.463810E-02 -1.463810E-02  -1.00000     -1.463810E-02   1.00000      2.142740E-04 
   71 8  0.194444      7.255390E-02  0.453095     -0.453095      -1.00000     -0.453095       1.00000      0.205295     
   72 8  0.197222      7.359038E-02  0.803042     -0.803042      -1.00000     -0.803042       1.00000      0.644877     
   73 8  0.200000      7.462686E-02  0.985631     -0.985631      -1.00000     -0.985631       1.00000      0.971468     
   74 8  0.202778      7.566334E-02  0.953694     -0.953694      -1.00000     -0.953694       1.00000      0.909532     
   75 8  0.205556      7.669983E-02  0.705772     -0.705772      -1.00000     -0.705772       1.00000      0.498114     
   76 8  0.208333      7.773632E-02  0.290930     -0.290930      -1.00000     -0.290930       1.00000      8.464008E-02 
   77 8  0.211111      7.877280E-02 -0.198339      0.198339       1.00000      0.198339       1.00000      3.933845E-02 
   78 8  0.213889      7.980929E-02 -0.645025      0.645025       1.00000      0.645025       1.00000      0.416057     
   79 8  0.216667      8.084577E-02 -0.935262      0.935262       1.00000      0.935262       1.00000      0.874714     
   80 8  0.219444      8.188225E-02 -0.988367      0.988367       1.00000      0.988367       1.00000      0.976870     
   81 8  0.222222      8.291874E-02 -0.781518      0.781518       1.00000      0.781518       1.00000      0.610770     
   82 8  0.225000      8.395522E-02 -0.361185      0.361185       1.00000      0.361185       1.00000      0.130454     
   83 8  0.227778      8.499171E-02  0.163814     -0.163814      -1.00000     -0.163814       1.00000      2.683512E-02 
   84 8  0.230556      8.602819E-02  0.648180     -0.648180      -1.00000     -0.648180       1.00000      0.420137     
