 ;spi/dat   21-JAN-2014 AT 14:41:40   tflm4_doc.dat
    1 6   0.00000      1.219512E-02  5.795646E-03  4.285088E-05  5.838497E-03  3.325838E-03 
    2 6  7.142857E-04  1.246127E-02  5.777257E-03  4.375514E-05  5.821012E-03  3.325838E-03 
    3 6  1.428571E-03  1.327673E-02  5.758927E-03  4.651972E-05  5.805446E-03  3.325839E-03 
    4 6  2.142857E-03  1.469242E-02  5.740654E-03  5.129858E-05  5.791953E-03  5.276819E-03 
    5 6  2.857143E-03  1.679293E-02  5.722440E-03  5.834320E-05  5.780783E-03  1.522413E-02 
    6 6  3.571429E-03  1.969588E-02  5.704283E-03  6.799510E-05  5.772278E-03  1.535157E-02 
    7 6  4.285714E-03  2.355112E-02  5.686184E-03  8.067492E-05  5.766859E-03  1.437874E-02 
    8 6  5.000000E-03  2.853945E-02  5.668143E-03  9.686871E-05  5.765012E-03  1.260738E-02 
    9 6  5.714286E-03  3.487078E-02  5.650159E-03  1.171108E-04  5.767269E-03  1.083810E-02 
   10 6  6.428571E-03  4.278170E-02  5.632231E-03  1.419635E-04  5.774194E-03  9.839761E-03 
   11 6  7.142857E-03  5.253216E-02  5.614361E-03  1.719943E-04  5.786355E-03  9.586014E-03 
   12 6  7.857143E-03  6.440113E-02  5.596547E-03  2.077487E-04  5.804296E-03  9.814012E-03 
   13 6  8.571428E-03  7.868115E-02  5.578790E-03  2.497227E-04  5.828512E-03  9.853277E-03 
   14 6  9.285714E-03  9.567149E-02  5.561089E-03  2.983312E-04  5.859420E-03  1.002011E-02 
   15 6  1.000000E-02  0.115670      5.543444E-03  3.538754E-04  5.897320E-03  1.001258E-02 
   16 6  1.071429E-02  0.138961      5.525855E-03  4.165107E-04  5.942366E-03  1.018660E-02 
   17 6  1.142857E-02  0.165808      5.508323E-03  4.862127E-04  5.994536E-03  1.018723E-02 
   18 6  1.214286E-02  0.196435      5.490845E-03  5.627478E-04  6.053593E-03  1.031257E-02 
   19 6  1.285714E-02  0.231014      5.473424E-03  6.456437E-04  6.119067E-03  1.032910E-02 
   20 6  1.357143E-02  0.269646      5.456057E-03  7.341675E-04  6.190225E-03  1.026891E-02 
   21 6  1.428571E-02  0.312344      5.438745E-03  8.273079E-04  6.266053E-03  1.015797E-02 
   22 6  1.500000E-02  0.359013      5.421489E-03  9.237685E-04  6.345258E-03  9.989124E-03 
   23 6  1.571429E-02  0.409429      5.404287E-03  1.021969E-03  6.426257E-03  9.768906E-03 
   24 6  1.642857E-02  0.463223      5.387140E-03  1.120059E-03  6.507200E-03  9.583383E-03 
   25 6  1.714286E-02  0.519859      5.370047E-03  1.215947E-03  6.585995E-03  9.212489E-03 
   26 6  1.785714E-02  0.578623      5.353009E-03  1.307341E-03  6.660350E-03  8.782481E-03 
   27 6  1.857143E-02  0.638608      5.336025E-03  1.391804E-03  6.727829E-03  8.268449E-03 
   28 6  1.928571E-02  0.698713      5.319094E-03  1.466830E-03  6.785924E-03  7.666930E-03 
   29 6  2.000000E-02  0.757645      5.302217E-03  1.529926E-03  6.832143E-03  6.978370E-03 
   30 6  2.071428E-02  0.813932      5.285394E-03  1.578709E-03  6.864103E-03  6.378892E-03 
   31 6  2.142857E-02  0.865943      5.268624E-03  1.611014E-03  6.879637E-03  5.764592E-03 
   32 6  2.214286E-02  0.911930      5.251907E-03  1.625000E-03  6.876908E-03  5.303545E-03 
   33 6  2.285714E-02  0.950074      5.235244E-03  1.619266E-03  6.854509E-03  4.910144E-03 
   34 6  2.357143E-02  0.978554      5.218633E-03  1.592944E-03  6.811576E-03  4.749198E-03 
   35 6  2.428572E-02  0.995625      5.202075E-03  1.545798E-03  6.747872E-03  4.771806E-03 
   36 6  2.500000E-02  0.999711      5.185569E-03  1.478287E-03  6.663856E-03  4.945110E-03 
   37 6  2.571429E-02  0.989509      5.169116E-03  1.391611E-03  6.560727E-03  5.198251E-03 
