
 ;spi/dat   13-JAN-2014 AT 10:40:39   pdbpts_doc.dat

   67 7   55.3910       3.44300       31.5010       90601.0       42.3000       13011.0       0.00000     
   68 7   53.9640       3.96600       31.3360       90600.0       42.3000       13011.0       0.00000     
   69 7   53.7440       5.16300       31.1630       90800.0       42.3000       13011.0       0.00000     
   70 7   56.3120       4.50300       32.1180       90602.0       34.9600       13011.0       0.00000     
   71 7   56.3050       4.54400       33.6350       90608.0       34.9600       13011.0       0.00000     
   72 7   57.7070       4.40500       34.2520       90605.0       34.9600       13011.0       0.00000     
   73 7   58.2670       3.07600       34.0270       90703.0       34.9600       13011.0       0.00000     
   74 7   59.5110       2.71700       34.3280       90611.0       34.9600       13011.0       0.00000     
   75 7   60.3380       3.58400       34.8740       90701.0       34.9600       13011.0       0.00000     
   76 7   59.9330       1.49100       34.0610       90702.0       34.9600       13011.0       0.00000     
   77 7   52.9980       3.05400       31.3930       90700.0       36.4200       14011.0       0.00000     
   78 7   51.5890       3.40000       31.2310       90601.0       36.4200       14011.0       0.00000     
   79 7   50.9930       3.85500       32.5310       90600.0       36.4200       14011.0       0.00000     
   80 7   50.7540       3.04800       33.4220       90800.0       36.4200       14011.0       0.00000     
   81 7   50.8100       2.19500       30.7200       90602.0       28.4200       14011.0       0.00000     
   82 7   51.4580       1.57900       29.5250       90608.0       28.4200       14011.0       0.00000     
   83 7   51.8640       2.29000       28.6120       90805.0       28.4200       14011.0       0.00000     
   84 7   51.5740      0.258000       29.5170       90700.0       28.4200       14011.0       0.00000     
   85 7   50.7180       5.15000       32.6180       200700.       28.0200       15011.0       0.00000     
   86 7   50.1810       5.73500       33.8300       200601.       28.0200       15011.0       0.00000     
   87 7   48.8060       6.34600       33.6200       200600.       28.0200       15011.0       0.00000     
   88 7   48.2920       6.36900       32.5080       200800.       28.0200       15011.0       0.00000     
   89 7   51.1250       6.82800       34.3360       200602.       17.1000       15011.0       0.00000     
   90 7   51.0350       8.05000       33.4180       200608.       17.1000       15011.0       0.00000     
   91 7   52.5660       6.31000       34.3570       200608.       17.1000       15011.0       0.00000     
   92 7   51.7410       9.26800       33.9600       200605.       17.1000       15011.0       0.00000     
   93 7   48.2190       6.85200       34.6990       30700.0       30.8900       16011.0       0.00000     
   94 7   46.9060       7.47500       34.6210       30601.0       30.8900       16011.0       0.00000     
   95 7   46.7280       8.39500       35.8120       30600.0       30.8900       16011.0       0.00000     
   96 7   46.7850       7.94100       36.9520       30800.0       30.8900       16011.0       0.00000     
   97 7   46.5380       9.68800       35.5660       200700.       37.7900       17011.0       0.00000     
   98 7   46.3820       10.6350       36.6640       200601.       37.7900       17011.0       0.00000     
   99 7   44.9690       10.5650       37.1900       200600.       37.7900       17011.0       0.00000     
