
 ;spi/dat   10-FEB-2014 AT 11:29:00   jnkapref_ali_doc.dat

 ;KEY    PSI,    THE,    PHI,  REF#, EXP#,  CUM.{ROT,  SX,    SY}, NPROJ,  DIFF,   CCROT,    ROT,    SX,     SY,   MIR-CC
   1 15  0.00   30.00  107.97   10.    1.   340.52    0.39    0.32   83.  -1.00   1469.19  340.52   0.39    0.32   0.0251
   2 15  0.00  270.00  114.51   80.    2.    41.33    0.00    0.86   83.  -1.00   1029.91   41.33   0.00    0.86  -0.0202
   3 15  0.00   75.00  114.51   58.    3.    24.72   -1.09   -0.49   83.  -1.00   1328.56   24.72  -1.09   -0.49   0.0255
   4 15  0.00   90.00  130.87   81.    4.   268.54   -4.91   -4.75   83.  -1.00   1121.51  268.54  -4.91   -4.75   0.0229
   5 15  0.00   90.00   32.72   75.    5.   278.29    0.24   -0.96   83.  -1.00   1183.85  278.29   0.24   -0.96   0.0210

 ;       %BIG-ANGDIF,   AVG-ANGDIF,   AVG-CCROT,   %WORSE,  AVG-WORSE,   AVG-BETTER
 ;  2 6   0.00000       0.00000       1226.60     0.00000    0.00000      0.00000    
