 ;    DENOISED VALUES
  246 1  3.389984E-03 
  247 1  1.515955E-03 
  248 1  1.919892E-03 
  249 1  9.522587E-05 
  250 1   0.00000     
  251 1  4.363507E-04 
  252 1  1.305021E-03 
  253 1  1.607932E-03 
  254 1  1.613390E-03 
  255 1  2.214529E-03 
  256 1  2.993848E-03 
  257 1  3.785521E-03 
  258 1  4.356671E-03 
  259 1  5.169384E-03 
  260 1  7.491443E-03 
  261 1  7.214736E-03 
  262 1  6.190751E-03 
  263 1  7.858507E-03 
  264 1  8.637678E-03 
  265 1  9.651016E-03 
  266 1  1.174029E-02 
  267 1  1.303755E-02 
  268 1  1.127727E-02 
  269 1  1.260704E-02 
  270 1  1.215410E-02 
  271 1  1.347738E-02 
  272 1  1.301037E-02 
  273 1  1.445337E-02 
  274 1  1.619635E-02 
  275 1  1.373328E-02 
  276 1  1.279917E-02 
  277 1  1.416462E-02 
  278 1  1.398455E-02 
  279 1  1.432104E-02 
  280 1  1.258423E-02 
  281 1  1.275618E-02 
  282 1  1.206369E-02 
  283 1  1.243375E-02 
  284 1  1.092092E-02 
  285 1  1.079081E-02 
  286 1  9.226013E-03 
  287 1  1.012698E-02 
  288 1  9.003494E-03 
  289 1  8.686848E-03 
  290 1  6.315198E-03 
  291 1  8.156218E-03 
  292 1  6.760471E-03 
  293 1  4.846506E-03 
  294 1  3.998086E-03 
  295 1  3.978018E-03 
  296 1  3.591806E-03 
  297 1  2.253380E-03 
  298 1  1.340859E-03 
  299 1  1.339484E-03 
  300 1  1.823653E-03 
  301 1  1.594342E-03 
  302 1  1.540754E-03 
  303 1  1.299363E-03 
  304 1  2.312213E-03 
  305 1  2.379876E-03 
  306 1  2.119765E-04 
  307 1  1.605906E-03 
  308 1  9.005815E-04 
  309 1  1.860689E-03 
  310 1  2.566107E-03 
  311 1  2.690103E-03 
  312 1  3.237940E-03 
  313 1  3.958225E-03 
  314 1  4.483085E-03 
  315 1  5.049288E-03 
  316 1  4.135381E-03 
  317 1  5.434088E-03 
  318 1  5.458258E-03 
  319 1  5.987395E-03 
  320 1  5.754154E-03 
  321 1  6.002944E-03 
  322 1  6.345704E-03 
  323 1  7.178884E-03 
  324 1  6.621804E-03 
  325 1  6.406259E-03 
  326 1  6.871141E-03 
  327 1  7.457674E-03 
  328 1  7.518336E-03 
  329 1  7.559340E-03 
  330 1  7.105783E-03 
  331 1  6.487414E-03 
  332 1  5.234145E-03 
  333 1  5.961139E-03 
  334 1  6.429799E-03 
  335 1  5.165309E-03 
  336 1  4.544411E-03 
  337 1  5.503643E-03 
  338 1  3.708765E-03 
  339 1  3.340922E-03 
  340 1  2.974261E-03 
  341 1  2.782770E-03 
  342 1  2.438638E-03 
  343 1  2.798863E-03 
  344 1  1.881011E-03 
  345 1  1.535818E-03 
  346 1  1.033422E-03 
  347 1  1.466408E-03 
  348 1  7.283725E-04 
  349 1  5.778000E-04 
  350 1  6.051958E-04 
  351 1   0.00000     
  352 1  1.864560E-03 
  353 1  9.696633E-04 
  354 1  4.728213E-04 
  355 1  6.956235E-04 
  356 1  6.454811E-04 
  357 1  7.456727E-04 
  358 1  1.486767E-03 
  359 1  1.735374E-03 
  360 1  2.520949E-03 
  361 1  2.217017E-03 
  362 1  2.296932E-03 
  363 1  1.983546E-03 
  364 1  2.761025E-03 
  365 1  2.988867E-03 
  366 1  2.218492E-03 
  367 1  2.996620E-03 
  368 1  2.424490E-03 
  369 1  2.636161E-03 
  370 1  3.556695E-03 
  371 1  3.199313E-03 
  372 1  3.473196E-03 
  373 1  3.554240E-03 
  374 1  3.004443E-03 
  375 1  2.360854E-03 
  376 1  3.276456E-03 
  377 1  4.220735E-03 
  378 1  2.785053E-03 
  379 1  1.511570E-03 
  380 1  2.420083E-03 
  381 1  2.574664E-03 
  382 1  2.067417E-03 
  383 1  1.346868E-03 
  384 1  1.566928E-03 
  385 1  1.235623E-03 
  386 1  9.509288E-04 
  387 1  8.125529E-04 
  388 1  1.137663E-03 
  389 1  4.682504E-04 
  390 1  2.265126E-04 
  391 1   0.00000     
  392 1  1.160428E-05 
  393 1  3.065467E-04 
  394 1   0.00000     
  395 1  3.205538E-04 
  396 1  8.449331E-05 
  397 1   0.00000     
  398 1  2.006069E-05 
  399 1   0.00000     
  400 1   0.00000     
  401 1  7.905215E-04 
  402 1  6.950386E-04 
  403 1  3.949031E-04 
  404 1  3.192984E-04 
  405 1  8.783415E-04 
  406 1  5.565584E-05 
  407 1   0.00000     
  408 1  6.738752E-04 
  409 1  1.126446E-03 
  410 1  1.513340E-03 
  411 1  1.704354E-03 
  412 1  1.859136E-03 
  413 1  1.544807E-03 
  414 1  1.215380E-03 
  415 1  9.733848E-04 
  416 1  1.187928E-03 
  417 1  1.368091E-03 
  418 1  1.069777E-03 
  419 1  3.650524E-04 
  420 1  2.177842E-04 
  421 1   0.00000     
  422 1  3.677160E-04 
  423 1  7.510222E-04 
  424 1   0.00000     
  425 1  3.932714E-04 
  426 1  2.623200E-04 
  427 1  7.700399E-04 
  428 1  1.265369E-04 
  429 1   0.00000     
  430 1   0.00000     
  431 1  4.307106E-04 
  432 1   0.00000     
  433 1  2.527647E-04 
  434 1   0.00000     
  435 1   0.00000     
  436 1   0.00000     
  437 1   0.00000     
  438 1   0.00000     
  439 1   0.00000     
  440 1   0.00000     
  441 1  4.718713E-04 
  442 1   0.00000     
  443 1   0.00000     
  444 1   0.00000     
  445 1  2.975650E-04 
  446 1  4.232116E-04 
  447 1   0.00000     
  448 1   0.00000     
  449 1  1.742281E-04 
  450 1  4.437566E-05 
  451 1  1.088195E-04 
  452 1   0.00000     
  453 1  2.650060E-04 
  454 1  5.675852E-04 
  455 1   0.00000     
  456 1  9.357929E-06 
  457 1   0.00000     
  458 1  5.327910E-05 
  459 1   0.00000     
  460 1   0.00000     
  461 1   0.00000     
  462 1   0.00000     
  463 1  3.287122E-04 
  464 1  3.909841E-04 
  465 1   0.00000     
  466 1   0.00000     
  467 1   0.00000     
  468 1   0.00000     
  469 1   0.00000     
  470 1   0.00000     
  471 1   0.00000     
  472 1   0.00000     
  473 1   0.00000     
  474 1   0.00000     
  475 1   0.00000     
  476 1   0.00000     
  477 1   0.00000     
  478 1   0.00000     
  479 1   0.00000     
  480 1   0.00000     
  481 1   0.00000     
  482 1   0.00000     
  483 1   0.00000     
  484 1   0.00000     
  485 1   0.00000     
  486 1   0.00000     
  487 1   0.00000     
  488 1   0.00000     
  489 1   0.00000     
  490 1   0.00000     
  491 1   0.00000     
  492 1   0.00000     
  493 1   0.00000     
  494 1   0.00000     
  495 1   0.00000     
  496 1   0.00000     
  497 1   0.00000     
  498 1   0.00000     
  499 1   0.00000     
  500 1   0.00000     
  501 1  1.727790E-05 
  502 1   0.00000     
  503 1   0.00000     
  504 1   0.00000     
  505 1   0.00000     
  506 1   0.00000     
  507 1   0.00000     
  508 1   0.00000     
  509 1   0.00000     
  510 1   0.00000     
  511 1  8.776970E-05 
  512 1   0.00000     
