 ;spi/dat   06-JUN-2013 AT 12:18:05   pk3r_doc.dat
 ; PEAK      PK-X          PK-Y          PK-Z     SUB_PIX-X     SUB_PIX-Y     SUB_PIX-Z     PK-HEIGHT    HEIGHT-RATIO
    1 8   37.0000       19.0000       27.0000       37.2632       18.6324       26.5377      0.708734       1.00000     
    2 8   61.0000       37.0000       27.0000       61.3676       37.2632       26.5377      0.708732      0.999997     
    3 8   19.0000       43.0000       27.0000       18.6324       42.7368       26.5377      0.708732      0.999997     
    4 8   43.0000       61.0000       27.0000       42.7368       61.3676       26.5377      0.708729      0.999993     
    5 8   51.0000       65.0000       26.0000       51.1939       65.2095       25.5608      0.686651      0.968841     
