 ;  FROM IMAGE FILE: rib_avg
 ;  LISTING OF FILE VALUES ------
   93 4  2.823606E-02   29.0000       35.0000       1.00000     
   94 4  2.984892E-02   30.0000       35.0000       1.00000     
   95 4  2.662439E-02   31.0000       35.0000       1.00000     
   96 4  2.292139E-02   32.0000       35.0000       1.00000     
   97 4  2.170316E-02   33.0000       35.0000       1.00000     
   98 4  2.586045E-02   34.0000       35.0000       1.00000     
   99 4  2.826964E-02   35.0000       35.0000       1.00000     
  100 4  2.383228E-02   36.0000       35.0000       1.00000     
  101 4  2.074078E-02   37.0000       35.0000       1.00000     
  102 4  2.430210E-02   38.0000       35.0000       1.00000     
  103 4  2.579975E-02   39.0000       35.0000       1.00000     
  104 4  2.024191E-02   40.0000       35.0000       1.00000     
  105 4  6.476335E-03   41.0000       35.0000       1.00000     
  106 4 -8.368118E-03   42.0000       35.0000       1.00000     
  107 4 -1.633913E-02   43.0000       35.0000       1.00000     
  108 4 -1.425422E-02   44.0000       35.0000       1.00000     
  109 4 -5.001619E-03   45.0000       35.0000       1.00000     
  110 4  6.812364E-03   46.0000       35.0000       1.00000     
  111 4  1.219263E-02   47.0000       35.0000       1.00000     
  112 4  1.427509E-03   48.0000       35.0000       1.00000     
  113 4 -1.380051E-02   49.0000       35.0000       1.00000     
  114 4 -3.233278E-02   50.0000       35.0000       1.00000     
  115 4 -4.822603E-02   51.0000       35.0000       1.00000     
  116 4 -5.340638E-02   52.0000       35.0000       1.00000     
  117 4 -5.294706E-02   53.0000       35.0000       1.00000     
  118 4 -5.464380E-02   54.0000       35.0000       1.00000     
  119 4 -5.820046E-02   55.0000       35.0000       1.00000     
  120 4 -5.777914E-02   56.0000       35.0000       1.00000     
  121 4 -6.101814E-02   57.0000       35.0000       1.00000     
  122 4 -6.207636E-02   58.0000       35.0000       1.00000     
  123 4 -6.288690E-02   59.0000       35.0000       1.00000     
  124 4 -6.177312E-02   60.0000       35.0000       1.00000     
  125 4 -5.781431E-02   61.0000       35.0000       1.00000     
  126 4 -5.753024E-02   62.0000       35.0000       1.00000     
  127 4 -5.936864E-02   63.0000       35.0000       1.00000     
  128 4 -5.867014E-02   64.0000       35.0000       1.00000     
