 ;spi/dat   07-FEB-2014 AT 14:33:16   apsr_doc_06.dat
    1 3   45.3074     -0.148071      0.109024     
    2 3   45.2421      1.721311E-02  2.128729E-02 
    3 3   151.174      9.698164E-02  0.120002     
    4 3   144.090      9.406328E-03  0.149914     
    5 3   72.2297      6.638938E-02  0.217340     
    6 3   191.925     -4.927301E-02 -3.415078E-02 
    7 3   260.598      4.108667E-02  4.438043E-03 
    8 3   7.62418     -2.610427E-02  8.808386E-02 
    9 3   107.018     -3.430617E-02  0.134921     
   10 3   80.0959      2.139050E-02  0.139011     
   11 3   321.442      0.163289      0.242585     
   12 3   192.827      0.250070      0.145302     
   13 3   77.4373      0.104623      0.253041     
   14 3   115.460      0.182642      0.240582     
   15 3   169.119      0.165701      0.272504     
   16 3   258.489      0.246667      0.185323     
   17 3   156.137      8.342755E-02  0.250585     
   18 3   183.992      0.226923      0.350974     
   19 3   335.772      0.199121      0.178196     
   20 3   0.00000      0.140308      0.238983     
   21 3   46.2347      5.700345E-02  0.149948     
   22 3   33.0646      6.370604E-02  8.279759E-02 
   23 3   252.768      0.159353     -3.533369E-02 
   24 3   312.489      0.134394      2.502266E-02 
   25 3   171.716      0.120752      9.426436E-02 
   26 3   146.478      5.531456E-02  9.285868E-02 
   27 3   92.8234     -9.999093E-02  4.912890E-02 
   28 3   289.583      8.811837E-02 -0.101349     
   29 3   207.245      0.277073      9.971681E-02 
   30 3   348.773      1.879185E-02  2.920318E-02 
   31 3   263.008      0.337214      0.229562     
   32 3   42.7081      0.310728      0.334465     
   33 3   145.581      0.111571      0.233034     
   34 3   24.5680      4.330051E-02  0.235318     
   35 3   186.349      0.317045      0.166771     
   36 3   20.5821      0.185117      0.226621     
   37 3   116.307      0.115083      0.245151     
   38 3   270.665      0.141025      9.157595E-02 
   39 3   215.859      0.251453      0.236614     
   40 3   175.943      0.192593      0.277278     
   41 3   259.784     -2.700853E-02  1.584911E-02 
   42 3   86.4319     -0.105975      9.540397E-02 
   43 3   352.793     -7.012987E-02  3.155503E-02 
   44 3   146.928      2.825022E-03  0.152263     
   45 3   142.278      0.179537      0.222506     
   46 3   85.3665     -1.222205E-02  0.119642     
   47 3   155.517      9.273132E-02  0.124653     
   48 3   136.344     -0.140968      7.239330E-02 
   49 3   57.7163      0.226226      0.271654     
   50 3   89.0688      6.860256E-03  0.136647     
   51 3   298.764      0.338443      0.284299     
   52 3   190.133      0.351206      0.328446     
   53 3   288.581      0.265726      0.194708     
   54 3   150.159      0.250550      0.376035     
   55 3   324.089      0.214309      0.294924     
   56 3   199.540      0.482636      0.347179     
   57 3   352.861      0.120664      0.215237     
   58 3   135.273      0.133851      0.353570     
   59 3   278.228      0.212298      0.227893     
   60 3   294.307      0.243134      0.216362     
   61 3   245.982      0.115111      1.444100E-02 
   62 3   221.421      1.312888E-02 -4.449375E-03 
   63 3   99.4213      0.112496      4.075810E-02 
   64 3   71.9025      7.644522E-02  0.239634     
   65 3   210.596     -0.157743      1.385270E-02 
   66 3   9.52795     -0.104304      9.896040E-02 
   67 3   228.347      6.815401E-02  8.859088E-02 
   68 3   345.572      5.910623E-02  0.115277     
   69 3  0.316711     -4.190040E-02  5.958378E-02 
   70 3   264.799      0.287433      0.131426     
   71 3   107.828      6.269789E-02  0.363935     
   72 3   291.355      0.349072      0.179026     
   73 3   213.006      0.290851      0.297542     
   74 3   56.9649      0.239617      0.239114     
   75 3   191.914      0.247097      0.389466     
   76 3   287.589      0.308653      0.205909     
   77 3   195.846      0.351631      0.385145     
   78 3   34.6053      0.226248      0.214374     
   79 3   155.930      0.280410      0.418073     
   80 3   207.708      0.393769      0.326088     
