 ;spi/dat   10-SEP-2012 AT 11:38:30   output/apsara_ra_doc_004.dat
 ;          FILE#         ANGLE      DIST/MIR         GROUP
    1 4   1.00000       0.00000       128.595       1.00000     
    2 4   2.00000       0.00000       120.283       1.00000     
    3 4   3.00000       0.00000       116.155       1.00000     
    4 4   4.00000       0.00000       128.608       1.00000     
    5 4   5.00000       1.40625       131.723       1.00000     
    6 4   6.00000       0.00000       121.018       1.00000     
    7 4   7.00000       0.00000       127.887       1.00000     
    8 4   8.00000       0.00000       118.493       1.00000     
    9 4   9.00000       0.00000       116.372       1.00000     
   10 4   10.0000       0.00000       130.504       1.00000     
   11 4   11.0000       0.00000       128.764       1.00000     
   12 4   12.0000       0.00000       125.427       1.00000     
   13 4   13.0000       0.00000       130.061       1.00000     
   14 4   14.0000       0.00000       127.359       1.00000     
   15 4   15.0000       0.00000       124.376       1.00000     
   16 4   16.0000       0.00000       137.117       1.00000     
   17 4   17.0000       0.00000       126.587       1.00000     
   18 4   18.0000       0.00000       124.931       1.00000     
   19 4   19.0000       0.00000       131.120       1.00000     
   20 4   20.0000       0.00000       124.565       1.00000     
   21 4   21.0000       0.00000       127.028       1.00000     
   22 4   22.0000       0.00000       135.464       1.00000     
   23 4   23.0000       0.00000       117.221       1.00000     
   24 4   24.0000       0.00000       127.343       1.00000     
   25 4   25.0000       0.00000       138.848       1.00000     
   26 4   26.0000       0.00000       116.909       1.00000     
   27 4   27.0000       0.00000       122.957       1.00000     
   28 4   28.0000       0.00000       137.163       1.00000     
   29 4   29.0000       0.00000       135.070       1.00000     
   30 4   30.0000       0.00000       126.315       1.00000     
   31 4   31.0000       358.594       141.642       1.00000     
   32 4   32.0000       358.594       133.521       1.00000     
   33 4   33.0000       358.594       132.775       1.00000     
   34 4   34.0000       358.594       138.286       1.00000     
   35 4   35.0000       358.594       134.240       1.00000     
   36 4   36.0000       358.594       130.601       1.00000     
   37 4   37.0000       358.594       141.282       1.00000     
   38 4   38.0000       358.594       131.089       1.00000     
   39 4   39.0000       358.594       128.936       1.00000     
   40 4   40.0000       358.594       147.996       1.00000     
