 ;spi/dat   10-SEP-2012 AT 11:38:31   output/apsara_ra_doc_005.dat
 ;          FILE#         ANGLE      DIST/MIR         GROUP
    1 4   1.00000       1.40625       132.909       1.00000     
    2 4   2.00000       1.40625       125.822       1.00000     
    3 4   3.00000       1.40625       123.867       1.00000     
    4 4   4.00000       1.40625       133.995       1.00000     
    5 4   5.00000       1.40625       128.156       1.00000     
    6 4   6.00000       1.40625       125.791       1.00000     
    7 4   7.00000       1.40625       136.534       1.00000     
    8 4   8.00000       1.40625       120.733       1.00000     
    9 4   9.00000       1.40625       128.267       1.00000     
   10 4   10.0000       1.40625       139.414       1.00000     
   11 4   11.0000       0.00000       128.848       1.00000     
   12 4   12.0000       1.40625       125.446       1.00000     
   13 4   13.0000       1.40625       133.878       1.00000     
   14 4   14.0000       0.00000       125.361       1.00000     
   15 4   15.0000       1.40625       122.341       1.00000     
   16 4   16.0000       1.40625       137.402       1.00000     
   17 4   17.0000       0.00000       128.724       1.00000     
   18 4   18.0000       1.40625       122.337       1.00000     
   19 4   19.0000       1.40625       130.125       1.00000     
   20 4   20.0000       0.00000       122.155       1.00000     
   21 4   21.0000       1.40625       126.874       1.00000     
   22 4   22.0000       1.40625       140.353       1.00000     
   23 4   23.0000       1.40625       122.965       1.00000     
   24 4   24.0000       1.40625       128.737       1.00000     
   25 4   25.0000       1.40625       136.817       1.00000     
   26 4   26.0000       1.40625       107.365       1.00000     
   27 4   27.0000       1.40625       124.642       1.00000     
   28 4   28.0000       1.40625       137.117       1.00000     
   29 4   29.0000       1.40625       123.977       1.00000     
   30 4   30.0000       1.40625       127.438       1.00000     
   31 4   31.0000       2.81250       133.610       1.00000     
   32 4   32.0000       2.81250       121.783       1.00000     
   33 4   33.0000       2.81250       120.682       1.00000     
   34 4   34.0000       2.81250       151.125       1.00000     
   35 4   35.0000       2.81250       128.262       1.00000     
   36 4   36.0000       2.81250       125.875       1.00000     
   37 4   37.0000       2.81250       135.143       1.00000     
   38 4   38.0000       2.81250       124.768       1.00000     
   39 4   39.0000       2.81250       122.762       1.00000     
   40 4   40.0000       2.81250       134.175       1.00000     
