 ;spi/dat   10-SEP-2012 AT 11:38:29   output/apsara_ra_doc_003.dat
 ;          FILE#         ANGLE      DIST/MIR         GROUP
    1 4   1.00000       358.594       130.306       1.00000     
    2 4   2.00000       358.594       117.309       1.00000     
    3 4   3.00000       358.594       117.569       1.00000     
    4 4   4.00000       358.594       129.957       1.00000     
    5 4   5.00000       358.594       120.753       1.00000     
    6 4   6.00000       358.594       119.083       1.00000     
    7 4   7.00000       358.594       129.228       1.00000     
    8 4   8.00000       358.594       119.296       1.00000     
    9 4   9.00000       358.594       118.100       1.00000     
   10 4   10.0000       358.594       131.214       1.00000     
   11 4   11.0000       0.00000       127.643       1.00000     
   12 4   12.0000       0.00000       124.209       1.00000     
   13 4   13.0000       0.00000       129.869       1.00000     
   14 4   14.0000       0.00000       125.943       1.00000     
   15 4   15.0000       0.00000       123.462       1.00000     
   16 4   16.0000       0.00000       136.021       1.00000     
   17 4   17.0000       0.00000       124.787       1.00000     
   18 4   18.0000       0.00000       124.709       1.00000     
   19 4   19.0000       0.00000       131.087       1.00000     
   20 4   20.0000       0.00000       122.633       1.00000     
   21 4   21.0000       0.00000       127.565       1.00000     
   22 4   22.0000       0.00000       135.319       1.00000     
   23 4   23.0000       0.00000       115.871       1.00000     
   24 4   24.0000       0.00000       126.925       1.00000     
   25 4   25.0000       0.00000       138.893       1.00000     
   26 4   26.0000       0.00000       116.516       1.00000     
   27 4   27.0000       0.00000       123.012       1.00000     
   28 4   28.0000       0.00000       136.904       1.00000     
   29 4   29.0000       0.00000       136.709       1.00000     
   30 4   30.0000       0.00000       126.569       1.00000     
   31 4   31.0000       358.594       144.420       1.00000     
   32 4   32.0000       358.594       135.064       1.00000     
   33 4   33.0000       358.594       132.987       1.00000     
   34 4   34.0000       1.40625       138.854       1.00000     
   35 4   35.0000       0.00000       135.115       1.00000     
   36 4   36.0000       0.00000       153.377       1.00000     
   37 4   37.0000       358.594       141.706       1.00000     
   38 4   38.0000       358.594       127.660       1.00000     
   39 4   39.0000       358.594       127.752       1.00000     
   40 4   40.0000       1.40625       143.994       1.00000     
