 ;spi/dat   04-FEB-2013 AT 10:50:13   data/cas_ca_eigpct_doc.dat
 ;  SPIDER doc file with % of variance accounted for by factor. Key = Factor
 ; Key     Eigenvalue       %      Cumulative-%
    1 3  8.873030E-03   4.04781       4.04781     
    2 3  7.625750E-03   3.47881       7.52661     
    3 3  5.331860E-03   2.43235       9.95897     
    4 3  3.488320E-03   1.59134       11.5503     
    5 3  3.436110E-03   1.56753       13.1178     
    6 3  3.402430E-03   1.55216       14.6700     
    7 3  3.382030E-03   1.54286       16.2129     
    8 3  3.350640E-03   1.52854       17.7414     
