 ;spi/dat   05-FEB-2013 AT 11:05:25   data/clhc_dend_5.dat
 ; KEY,    CLASS,      HEIGHT        ID
    1 3   79.0000      3.524588E-04   79.0000     
    2 3   78.0000      1.126166E-03   78.0000     
    3 3   76.0000      2.418099E-02   76.0000     
    4 3   77.0000      8.950245E-04   77.0000     
    5 3   71.0000      6.873329E-02   71.0000     
    6 3   80.0000      1.930184E-03   80.0000     
    7 3   74.0000      1.257819E-02   74.0000     
    8 3   73.0000      4.519657E-04   73.0000     
    9 3   72.0000      1.626274E-03   72.0000     
   10 3   75.0000       6.15026       75.0000     
   11 3   55.0000      9.098177E-06   55.0000     
   12 3   52.0000      9.729838E-04   52.0000     
   13 3   57.0000      4.483458E-03   57.0000     
   14 3   58.0000      9.350203E-04   58.0000     
   15 3   54.0000      1.040821E-02   54.0000     
   16 3   51.0000      4.424855E-02   51.0000     
   17 3   59.0000      6.229997E-04   59.0000     
   18 3   56.0000      1.824065E-03   56.0000     
   19 3   53.0000      8.806016E-03   53.0000     
   20 3   60.0000       27.8866       60.0000     
   21 3   66.0000      3.196023E-04   66.0000     
   22 3   65.0000      5.779408E-03   65.0000     
   23 3   64.0000      6.038567E-05   64.0000     
   24 3   63.0000      6.336106E-03   63.0000     
   25 3   69.0000      1.781802E-03   69.0000     
   26 3   61.0000      8.268709E-02   61.0000     
   27 3   70.0000       0.00000       70.0000     
   28 3   67.0000      1.296761E-03   67.0000     
   29 3   68.0000      5.864698E-03   68.0000     
   30 3   62.0000       5.22231       62.0000     
   31 3   49.0000      1.896020E-04   49.0000     
   32 3   42.0000      2.279116E-03   42.0000     
   33 3   45.0000      1.593854E-02   45.0000     
   34 3   46.0000      1.199214E-03   46.0000     
   35 3   41.0000      2.816026E-02   41.0000     
   36 3   50.0000      3.971987E-03   50.0000     
   37 3   48.0000      1.087172E-02   48.0000     
   38 3   47.0000      2.039994E-04   47.0000     
   39 3   44.0000      6.851407E-04   44.0000     
   40 3   43.0000       100.000       43.0000     
   41 3   39.0000      1.799314E-04   39.0000     
   42 3   36.0000      1.022627E-03   36.0000     
   43 3   38.0000      7.355809E-03   38.0000     
   44 3   40.0000      1.694113E-04   40.0000     
   45 3   32.0000      1.404133E-02   32.0000     
   46 3   35.0000      3.394705E-04   35.0000     
   47 3   33.0000      2.878670E-03   33.0000     
   48 3   34.0000      7.311894E-02   34.0000     
   49 3   37.0000      2.661107E-03   37.0000     
   50 3   31.0000       5.29137       31.0000     
   51 3   20.0000      8.299193E-04   20.0000     
   52 3   12.0000      2.678017E-03   12.0000     
   53 3   13.0000      1.197971E-02   13.0000     
   54 3   17.0000      1.989225E-04   17.0000     
   55 3   14.0000      4.020859E-02   14.0000     
   56 3   16.0000      2.958108E-04   16.0000     
   57 3   11.0000      1.601682E-03   11.0000     
   58 3   15.0000      8.717827E-03   15.0000     
   59 3   19.0000      7.588550E-04   19.0000     
   60 3   18.0000       23.9597       18.0000     
   61 3   27.0000      7.677872E-04   27.0000     
   62 3   25.0000      2.180157E-03   25.0000     
   63 3   23.0000      2.688096E-04   23.0000     
   64 3   22.0000      6.496251E-03   22.0000     
   65 3   28.0000      1.947932E-02   28.0000     
   66 3   29.0000      1.394901E-03   29.0000     
   67 3   26.0000      4.651306E-02   26.0000     
   68 3   24.0000      5.499180E-04   24.0000     
   69 3   21.0000      1.938032E-03   21.0000     
   70 3   30.0000       4.11147       30.0000     
   71 3   10.0000      3.648313E-04   10.0000     
   72 3   7.00000      3.545642E-03   7.00000     
   73 3   9.00000      1.398580E-04   9.00000     
   74 3   4.00000      1.154935E-02   4.00000     
   75 3   5.00000      1.118669E-03   5.00000     
   76 3   2.00000      3.469037E-03   2.00000     
   77 3   6.00000      3.840278E-02   6.00000     
   78 3   8.00000      5.126892E-04   8.00000     
   79 3   1.00000      1.879217E-03   1.00000     
   80 3   3.00000       100.000       3.00000     
