 ;spi/dat   04-FEB-2013 AT 12:03:16   data/clhc_den_class_004.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   4
 ; KEY,     ID,        INDEX
    1 2   24.0000       3.42977     
    2 2   21.0000       6.96800     
    3 2   30.0000       12.3224     
    4 2   28.0000       15.4035     
    5 2   29.0000       5.86841     
    6 2   26.0000       10.1701     
    7 2   27.0000       4.17400     
    8 2   25.0000       5.41678     
    9 2   23.0000       2.20990     
   10 2   22.0000       46.0827     
   11 2   10.0000       2.67491     
   12 2   7.00000       4.50210     
   13 2   2.00000       7.14040     
   14 2   9.00000       1.43907     
   15 2   4.00000       11.3908     
   16 2   6.00000       6.12857     
   17 2   5.00000       13.6728     
   18 2   8.00000       3.28912     
   19 2   1.00000       5.81882     
   20 2   3.00000       100.000     
