 ;spi/dat   04-FEB-2013 AT 12:03:16   data/clhc_den_class_002.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   2
 ; KEY,     ID,        INDEX
    1 2   39.0000       1.70403     
    2 2   36.0000       4.64570     
    3 2   38.0000       8.15776     
    4 2   40.0000       1.63725     
    5 2   32.0000       11.2048     
    6 2   35.0000       2.55833     
    7 2   33.0000       6.60357     
    8 2   31.0000       12.8145     
    9 2   34.0000       20.0314     
   10 2   37.0000       60.1209     
   11 2   19.0000       4.14568     
   12 2   18.0000       9.33620     
   13 2   17.0000       1.82030     
   14 2   14.0000       10.4129     
   15 2   16.0000       2.34758     
   16 2   11.0000       5.73519     
   17 2   15.0000       15.4363     
   18 2   20.0000       4.36668     
   19 2   12.0000       7.93998     
   20 2   13.0000       100.000     
