 ;spi/dat   04-FEB-2013 AT 12:03:16   data/clhc_den_class_001.dat
 ; THRESHOLD LEVEL:  64.00 CLASS:   1
 ; KEY,     ID,        INDEX
    1 2   58.0000       4.67723     
    2 2   54.0000       6.93588     
    3 2   55.0000      0.160655     
    4 2   52.0000       3.65678     
    5 2   57.0000       9.13823     
    6 2   59.0000       3.69314     
    7 2   56.0000       5.88153     
    8 2   53.0000       15.0547     
    9 2   51.0000       19.3557     
   10 2   60.0000       63.8454     
   11 2   79.0000       2.61853     
   12 2   78.0000       4.91158     
   13 2   76.0000       15.7948     
   14 2   77.0000       4.56116     
   15 2   71.0000       16.4729     
   16 2   80.0000       7.03027     
   17 2   74.0000       12.6507     
   18 2   73.0000       3.04871     
   19 2   72.0000       6.13459     
   20 2   75.0000       84.8685     
