 ;bat/dat   27-JAN-2004 AT 12:34:23   PIX453/PIX453doc.dat
  210 2  210.00      4.0000    
  211 2  211.00      5.0000    
  212 2  212.00      1.0000    
  213 2  213.00      5.0000    
  214 2  214.00      2.0000    
  215 2  215.00      7.0000    
  216 2  216.00      2.0000    
  217 2  217.00      2.0000    
  218 2  218.00      4.0000    
  219 2  219.00      4.0000    
  220 2  220.00      1.0000    
  221 2  221.00      2.0000    
  222 2  222.00      1.0000    
  223 2  223.00      3.0000    
  224 2  224.00      1.0000    
  225 2  225.00      5.0000    
  226 2  226.00      1.0000    
  227 2  227.00      5.0000    
  228 2  228.00      2.0000    
  229 2  229.00      4.0000    
  230 2  230.00      4.0000    
  231 2  231.00      5.0000    
  232 2  232.00      1.0000    
  233 2  233.00      1.0000    
  234 2  234.00      2.0000    
  235 2  235.00      2.0000    
  236 2  236.00      1.0000    
  237 2  237.00      1.0000    
  238 2  238.00      2.0000    
  239 2  239.00      2.0000    
  240 2  240.00      2.0000    
  241 2  241.00      8.0000    
  242 2  242.00      2.0000    
  243 2  243.00      5.0000    
  244 2  244.00      2.0000    
  245 2  245.00      5.0000    
  246 2  246.00      1.0000    
  247 2  247.00      2.0000    
  248 2  248.00      2.0000    
  249 2  249.00      5.0000    
  250 2  250.00      4.0000    
  251 2  251.00      1.0000    
  252 2  252.00      1.0000    
  253 2  253.00      4.0000    
  254 2  254.00      5.0000    
  255 2  255.00      5.0000    
  256 2  256.00      1.0000    
  257 2  257.00      2.0000    
  258 2  258.00      1.0000    
  259 2  259.00      2.0000    
  260 2  260.00      4.0000    
  261 2  261.00      5.0000    
  262 2  262.00      4.0000    
  263 2  263.00      2.0000    
  264 2  264.00      1.0000    
  265 2  265.00      6.0000    
  266 2  266.00      2.0000    
  267 2  267.00      4.0000    
  268 2  268.00      5.0000    
  269 2  269.00      5.0000    
  270 2  270.00      2.0000    
  271 2  271.00      1.0000    
  272 2  272.00      1.0000    
  273 2  273.00      2.0000    
  274 2  274.00      2.0000    
  275 2  275.00      1.0000    
  276 2  276.00      1.0000    
  277 2  277.00      2.0000    
  278 2  278.00      2.0000    
  279 2  279.00      1.0000    
  280 2  280.00      5.0000    
  281 2  281.00      4.0000    
  282 2  282.00      5.0000    
  283 2  283.00      4.0000    
  284 2  284.00      5.0000    
  285 2  285.00      2.0000    
  286 2  286.00      1.0000    
  287 2  287.00      7.0000    
  288 2  288.00      2.0000    
  289 2  289.00      1.0000    
  290 2  290.00      2.0000    
  291 2  291.00      2.0000    
  292 2  292.00      1.0000    
  293 2  293.00      1.0000    
  294 2  294.00      1.0000    
  295 2  295.00      4.0000    
  296 2  296.00      5.0000    
  297 2  297.00      5.0000    
  298 2  298.00      4.0000    
  299 2  299.00      5.0000    
  300 2  300.00      4.0000    
  301 2  301.00      7.0000    
  302 2  302.00      2.0000    
  303 2  303.00      5.0000    
  304 2  304.00      2.0000    
  305 2  305.00      7.0000    
  306 2  306.00      5.0000    
  307 2  307.00      2.0000    
  308 2  308.00      1.0000    
  309 2  309.00      1.0000    
  310 2  310.00      4.0000    
  311 2  311.00      2.0000    
  312 2  312.00      1.0000    
  313 2  313.00      2.0000    
  314 2  314.00      2.0000    
  315 2  315.00      4.0000    
  316 2  316.00      1.0000    
  317 2  317.00      5.0000    
  318 2  318.00      4.0000    
  319 2  319.00      2.0000    
  320 2  320.00      1.0000    
  321 2  321.00      1.0000    
  322 2  322.00      1.0000    
  323 2  323.00      8.0000    
  324 2  324.00      7.0000    
  325 2  325.00      1.0000    
  326 2  326.00      5.0000    
  327 2  327.00      1.0000    
  328 2  328.00      7.0000    
  329 2  329.00      5.0000    
  330 2  330.00      4.0000    
  331 2  331.00      4.0000    
  332 2  332.00      1.0000    
  333 2  333.00      7.0000    
  334 2  334.00      1.0000    
  335 2  335.00      5.0000    
  336 2  336.00      5.0000    
  337 2  337.00      1.0000    
  338 2  338.00      2.0000    
  339 2  339.00      7.0000    
  340 2  340.00      4.0000    
  341 2  341.00      1.0000    
  342 2  342.00      4.0000    
  343 2  343.00      7.0000    
  344 2  344.00      1.0000    
  345 2  345.00      5.0000    
  346 2  346.00      5.0000    
  347 2  347.00      2.0000    
  348 2  348.00      4.0000    
  349 2  349.00      4.0000    
  350 2  350.00      4.0000    
  351 2  351.00      4.0000    
  352 2  352.00      5.0000    
  353 2  353.00      4.0000    
  354 2  354.00      5.0000    
  355 2  355.00      4.0000    
  356 2  356.00      5.0000    
  357 2  357.00      1.0000    
  358 2  358.00      2.0000    
  359 2  359.00      5.0000    
  360 2  360.00      4.0000    
  361 2  361.00      2.0000    
  362 2  362.00      6.0000    
  363 2  363.00      1.0000    
  364 2  364.00      2.0000    
  365 2  365.00      6.0000    
  366 2  366.00      2.0000    
  367 2  367.00      8.0000    
  368 2  368.00      1.0000    
  369 2  369.00      2.0000    
  370 2  370.00      4.0000    
  371 2  371.00      5.0000    
  372 2  372.00      2.0000    
  373 2  373.00      5.0000    
  374 2  374.00      5.0000    
  375 2  375.00      4.0000    
  376 2  376.00      2.0000    
  377 2  377.00      7.0000    
  378 2  378.00      1.0000    
  379 2  379.00      4.0000    
  380 2  380.00      5.0000    
  381 2  381.00      2.0000    
  382 2  382.00      5.0000    
  383 2  383.00      7.0000    
  384 2  384.00      5.0000    
  385 2  385.00      5.0000    
  386 2  386.00      1.0000    
  387 2  387.00      1.0000    
  388 2  388.00      2.0000    
  389 2  389.00      1.0000    
  390 2  390.00      1.0000    
  391 2  391.00      4.0000    
  392 2  392.00      4.0000    
  393 2  393.00      2.0000    
  394 2  394.00      2.0000    
  395 2  395.00      1.0000    
  396 2  396.00      2.0000    
  397 2  397.00      2.0000    
  398 2  398.00      1.0000    
  399 2  399.00      4.0000    
  400 2  400.00      1.0000    
  401 2  401.00      4.0000    
  402 2  402.00      5.0000    
  403 2  403.00      4.0000    
  404 2  404.00      1.0000    
  405 2  405.00      4.0000    
  406 2  406.00      2.0000    
  407 2  407.00      2.0000    
  408 2  408.00      1.0000    
  409 2  409.00      4.0000    
  410 2  410.00      2.0000    
  411 2  411.00      6.0000    
  412 2  412.00      6.0000    
  413 2  413.00      2.0000    
  414 2  414.00      5.0000    
  415 2  415.00      4.0000    
  416 2  416.00      3.0000    
  417 2  417.00      4.0000    
  418 2  418.00      1.0000    
  419 2  419.00      1.0000    
  420 2  420.00      4.0000    
  421 2  421.00      1.0000    
  422 2  422.00      2.0000    
  423 2  423.00      2.0000    
  424 2  424.00      1.0000    
  425 2  425.00      7.0000    
  426 2  426.00      2.0000    
  427 2  427.00      5.0000    
  428 2  428.00      4.0000    
  429 2  429.00      2.0000    
  430 2  430.00      4.0000    
  431 2  431.00      5.0000    
  432 2  432.00      8.0000    
  433 2  433.00      4.0000    
