 ;bat/dat   27-JAN-2004 AT 12:34:23   PIX453/PIX453doc.dat
  915 2  915.00      2.0000    
  916 2  916.00      5.0000    
  917 2  917.00      2.0000    
  918 2  918.00      1.0000    
  919 2  919.00      2.0000    
  920 2  920.00      8.0000    
  921 2  921.00      1.0000    
  922 2  922.00      2.0000    
  923 2  923.00      4.0000    
  924 2  924.00      4.0000    
  925 2  925.00      5.0000    
  926 2  926.00      5.0000    
  927 2  927.00      5.0000    
  928 2  928.00      2.0000    
  929 2  929.00      8.0000    
  930 2  930.00      2.0000    
  931 2  931.00      2.0000    
  932 2  932.00      5.0000    
  933 2  933.00      1.0000    
  934 2  934.00      2.0000    
  935 2  935.00      6.0000    
  936 2  936.00      6.0000    
  937 2  937.00      2.0000    
  938 2  938.00      2.0000    
  939 2  939.00      5.0000    
  940 2  940.00      5.0000    
  941 2  941.00      5.0000    
  942 2  942.00      5.0000    
  943 2  943.00      1.0000    
  944 2  944.00      5.0000    
  945 2  945.00      2.0000    
  946 2  946.00      1.0000    
  947 2  947.00      5.0000    
  948 2  948.00      5.0000    
  949 2  949.00      2.0000    
  950 2  950.00      1.0000    
  951 2  951.00      4.0000    
  952 2  952.00      5.0000    
  953 2  953.00      2.0000    
  954 2  954.00      2.0000    
  955 2  955.00      4.0000    
  956 2  956.00      5.0000    
  957 2  957.00      1.0000    
  958 2  958.00      5.0000    
  959 2  959.00      2.0000    
  960 2  960.00      2.0000    
  961 2  961.00      5.0000    
  962 2  962.00      4.0000    
  963 2  963.00      4.0000    
  964 2  964.00      5.0000    
  965 2  965.00      2.0000    
  966 2  966.00      1.0000    
  967 2  967.00      2.0000    
  968 2  968.00      2.0000    
  969 2  969.00      6.0000    
  970 2  970.00      6.0000    
  971 2  971.00      6.0000    
  972 2  972.00      4.0000    
  973 2  973.00      5.0000    
  974 2  974.00      1.0000    
  975 2  975.00      2.0000    
  976 2  976.00      5.0000    
  977 2  977.00      1.0000    
  978 2  978.00      4.0000    
  979 2  979.00      2.0000    
  980 2  980.00      6.0000    
  981 2  981.00      2.0000    
  982 2  982.00      1.0000    
  983 2  983.00      1.0000    
  984 2  984.00      5.0000    
  985 2  985.00      3.0000    
  986 2  986.00      5.0000    
  987 2  987.00      4.0000    
  988 2  988.00      2.0000    
  989 2  989.00      7.0000    
  990 2  990.00      2.0000    
  991 2  991.00      1.0000    
  992 2  992.00      4.0000    
  993 2  993.00      6.0000    
  994 2  994.00      6.0000    
  995 2  995.00      4.0000    
  996 2  996.00      2.0000    
  997 2  997.00      1.0000    
  998 2  998.00      2.0000    
  999 2  999.00      4.0000    
 1000 2  1000.0      1.0000    
 1001 2  1001.0      4.0000    
 1002 2  1002.0      2.0000    
 1003 2  1003.0      1.0000    
 1004 2  1004.0      5.0000    
 1005 2  1005.0      5.0000    
 1006 2  1006.0      4.0000    
 1007 2  1007.0      4.0000    
 1008 2  1008.0      4.0000    
 1009 2  1009.0      1.0000    
 1010 2  1010.0      1.0000    
 1011 2  1011.0      1.0000    
 1012 2  1012.0      4.0000    
 1013 2  1013.0      1.0000    
 1014 2  1014.0      2.0000    
 1015 2  1015.0      1.0000    
 1016 2  1016.0      4.0000    
 1017 2  1017.0      7.0000    
 1018 2  1018.0      2.0000    
 1019 2  1019.0      4.0000    
 1020 2  1020.0      2.0000    
 1021 2  1021.0      5.0000    
 1022 2  1022.0      5.0000    
 1023 2  1023.0      4.0000    
 1024 2  1024.0      7.0000    
 1025 2  1025.0      2.0000    
 1026 2  1026.0      5.0000    
 1027 2  1027.0      1.0000    
 1028 2  1028.0      2.0000    
 1029 2  1029.0      6.0000    
 1030 2  1030.0      6.0000    
 1031 2  1031.0      6.0000    
 1032 2  1032.0      5.0000    
 1033 2  1033.0      2.0000    
 1034 2  1034.0      7.0000    
 1035 2  1035.0      4.0000    
 1036 2  1036.0      5.0000    
 1037 2  1037.0      3.0000    
 1038 2  1038.0      1.0000    
 1039 2  1039.0      2.0000    
 1040 2  1040.0      1.0000    
 1041 2  1041.0      3.0000    
 1042 2  1042.0      4.0000    
 1043 2  1043.0      4.0000    
 1044 2  1044.0      4.0000    
 1045 2  1045.0      5.0000    
 1046 2  1046.0      5.0000    
 1047 2  1047.0      1.0000    
 1048 2  1048.0      4.0000    
 1049 2  1049.0      4.0000    
 1050 2  1050.0      3.0000    
 1051 2  1051.0      2.0000    
 1052 2  1052.0      1.0000    
 1053 2  1053.0      6.0000    
 1054 2  1054.0      6.0000    
 1055 2  1055.0      1.0000    
 1056 2  1056.0      2.0000    
 1057 2  1057.0      1.0000    
 1058 2  1058.0      3.0000    
 1059 2  1059.0      3.0000    
 1060 2  1060.0      3.0000    
 1061 2  1061.0      3.0000    
 1062 2  1062.0      3.0000    
 1063 2  1063.0      5.0000    
 1064 2  1064.0      8.0000    
 1065 2  1065.0      8.0000    
 1066 2  1066.0      8.0000    
 1067 2  1067.0      8.0000    
 1068 2  1068.0      8.0000    
 1069 2  1069.0      1.0000    
 1070 2  1070.0      1.0000    
 1071 2  1071.0      5.0000    
 1072 2  1072.0      5.0000    
 1073 2  1073.0      1.0000    
 1074 2  1074.0      1.0000    
 1075 2  1075.0      1.0000    
 1076 2  1076.0      3.0000    
 1077 2  1077.0      3.0000    
 1078 2  1078.0      3.0000    
 1079 2  1079.0      3.0000    
 1080 2  1080.0      3.0000    
 1081 2  1081.0      5.0000    
 1082 2  1082.0      8.0000    
 1083 2  1083.0      8.0000    
 1084 2  1084.0      8.0000    
 1085 2  1085.0      8.0000    
 1086 2  1086.0      8.0000    
 1087 2  1087.0      2.0000    
 1088 2  1088.0      5.0000    
 1089 2  1089.0      6.0000    
 1090 2  1090.0      6.0000    
 1091 2  1091.0      6.0000    
 1092 2  1092.0      5.0000    
 1093 2  1093.0      2.0000    
 1094 2  1094.0      7.0000    
 1095 2  1095.0      2.0000    
 1096 2  1096.0      5.0000    
 1097 2  1097.0      4.0000    
 1098 2  1098.0      4.0000    
 1099 2  1099.0      5.0000    
 1100 2  1100.0      2.0000    
 1101 2  1101.0      5.0000    
 1102 2  1102.0      1.0000    
 1103 2  1103.0      4.0000    
 1104 2  1104.0      5.0000    
 1105 2  1105.0      4.0000    
 1106 2  1106.0      2.0000    
 1107 2  1107.0      1.0000    
 1108 2  1108.0      2.0000    
 1109 2  1109.0      5.0000    
 1110 2  1110.0      1.0000    
 1111 2  1111.0      1.0000    
 1112 2  1112.0      5.0000    
 1113 2  1113.0      6.0000    
 1114 2  1114.0      6.0000    
 1115 2  1115.0      4.0000    
 1116 2  1116.0      4.0000    
 1117 2  1117.0      4.0000    
 1118 2  1118.0      5.0000    
 1119 2  1119.0      3.0000    
 1120 2  1120.0      3.0000    
 1121 2  1121.0      3.0000    
 1122 2  1122.0      3.0000    
 1123 2  1123.0      3.0000    
 1124 2  1124.0      2.0000    
 1125 2  1125.0      8.0000    
 1126 2  1126.0      8.0000    
 1127 2  1127.0      8.0000    
 1128 2  1128.0      8.0000    
 1129 2  1129.0      8.0000    
 1130 2  1130.0      5.0000    
 1131 2  1131.0      5.0000    
 1132 2  1132.0      4.0000    
 1133 2  1133.0      1.0000    
 1134 2  1134.0      2.0000    
 1135 2  1135.0      5.0000    
 1136 2  1136.0      1.0000    
 1137 2  1137.0      3.0000    
 1138 2  1138.0      3.0000    
 1139 2  1139.0      3.0000    
 1140 2  1140.0      3.0000    
 1141 2  1141.0      3.0000    
 1142 2  1142.0      5.0000    
 1143 2  1143.0      8.0000    
 1144 2  1144.0      8.0000    
 1145 2  1145.0      8.0000    
 1146 2  1146.0      8.0000    
 1147 2  1147.0      8.0000    
 1148 2  1148.0      7.0000    
 1149 2  1149.0      4.0000    
 1150 2  1150.0      6.0000    
 1151 2  1151.0      6.0000    
 1152 2  1152.0      6.0000    
 1153 2  1153.0      6.0000    
 1154 2  1154.0      2.0000    
 1155 2  1155.0      2.0000    
 1156 2  1156.0      7.0000    
 1157 2  1157.0      2.0000    
 1158 2  1158.0      5.0000    
 1159 2  1159.0      5.0000    
 1160 2  1160.0      5.0000    
 1161 2  1161.0      2.0000    
 1162 2  1162.0      3.0000    
 1163 2  1163.0      1.0000    
 1164 2  1164.0      2.0000    
 1165 2  1165.0      2.0000    
 1166 2  1166.0      5.0000    
 1167 2  1167.0      5.0000    
 1168 2  1168.0      6.0000    
 1169 2  1169.0      6.0000    
 1170 2  1170.0      2.0000    
 1171 2  1171.0      2.0000    
 1172 2  1172.0      1.0000    
 1173 2  1173.0      1.0000    
 1174 2  1174.0      6.0000    
 1175 2  1175.0      6.0000    
 1176 2  1176.0      4.0000    
 1177 2  1177.0      1.0000    
 1178 2  1178.0      1.0000    
 1179 2  1179.0      2.0000    
 1180 2  1180.0      3.0000    
 1181 2  1181.0      3.0000    
 1182 2  1182.0      3.0000    
 1183 2  1183.0      3.0000    
 1184 2  1184.0      3.0000    
 1185 2  1185.0      5.0000    
 1186 2  1186.0      8.0000    
 1187 2  1187.0      8.0000    
 1188 2  1188.0      8.0000    
 1189 2  1189.0      8.0000    
 1190 2  1190.0      8.0000    
 1191 2  1191.0      5.0000    
 1192 2  1192.0      4.0000    
 1193 2  1193.0      2.0000    
 1194 2  1194.0      1.0000    
 1195 2  1195.0      2.0000    
 1196 2  1196.0      2.0000    
 1197 2  1197.0      5.0000    
 1198 2  1198.0      3.0000    
 1199 2  1199.0      3.0000    
 1200 2  1200.0      3.0000    
 1201 2  1201.0      3.0000    
 1202 2  1202.0      3.0000    
 1203 2  1203.0      1.0000    
 1204 2  1204.0      8.0000    
 1205 2  1205.0      8.0000    
 1206 2  1206.0      8.0000    
 1207 2  1207.0      8.0000    
 1208 2  1208.0      8.0000    
 1209 2  1209.0      4.0000    
 1210 2  1210.0      1.0000    
 1211 2  1211.0      2.0000    
 1212 2  1212.0      6.0000    
 1213 2  1213.0      6.0000    
 1214 2  1214.0      6.0000    
 1215 2  1215.0      1.0000    
 1216 2  1216.0      5.0000    
 1217 2  1217.0      5.0000    
 1218 2  1218.0      4.0000    
 1219 2  1219.0      2.0000    
 1220 2  1220.0      4.0000    
 1221 2  1221.0      5.0000    
 1222 2  1222.0      5.0000    
 1223 2  1223.0      1.0000    
 1224 2  1224.0      4.0000    
 1225 2  1225.0      4.0000    
 1226 2  1226.0      1.0000    
 1227 2  1227.0      1.0000    
 1228 2  1228.0      4.0000    
 1229 2  1229.0      5.0000    
 1230 2  1230.0      2.0000    
 1231 2  1231.0      4.0000    
 1232 2  1232.0      4.0000    
 1233 2  1233.0      1.0000    
 1234 2  1234.0      2.0000    
 1235 2  1235.0      6.0000    
 1236 2  1236.0      6.0000    
 1237 2  1237.0      2.0000    
 1238 2  1238.0      5.0000    
 1239 2  1239.0      2.0000    
 1240 2  1240.0      2.0000    
 1241 2  1241.0      3.0000    
 1242 2  1242.0      3.0000    
 1243 2  1243.0      3.0000    
 1244 2  1244.0      3.0000    
 1245 2  1245.0      3.0000    
 1246 2  1246.0      1.0000    
 1247 2  1247.0      8.0000    
 1248 2  1248.0      8.0000    
 1249 2  1249.0      8.0000    
 1250 2  1250.0      8.0000    
 1251 2  1251.0      8.0000    
 1252 2  1252.0      2.0000    
 1253 2  1253.0      2.0000    
 1254 2  1254.0      2.0000    
 1255 2  1255.0      5.0000    
 1256 2  1256.0      4.0000    
 1257 2  1257.0      1.0000    
 1258 2  1258.0      1.0000    
 1259 2  1259.0      3.0000    
 1260 2  1260.0      3.0000    
 1261 2  1261.0      3.0000    
 1262 2  1262.0      3.0000    
 1263 2  1263.0      3.0000    
 1264 2  1264.0      5.0000    
 1265 2  1265.0      8.0000    
 1266 2  1266.0      8.0000    
 1267 2  1267.0      8.0000    
 1268 2  1268.0      8.0000    
 1269 2  1269.0      8.0000    
 1270 2  1270.0      1.0000    
 1271 2  1271.0      1.0000    
 1272 2  1272.0      2.0000    
 1273 2  1273.0      6.0000    
 1274 2  1274.0      6.0000    
 1275 2  1275.0      6.0000    
 1276 2  1276.0      2.0000    
 1277 2  1277.0      5.0000    
 1278 2  1278.0      4.0000    
 1279 2  1279.0      4.0000    
 1280 2  1280.0      2.0000    
 1281 2  1281.0      5.0000    
 1282 2  1282.0      1.0000    
 1283 2  1283.0      1.0000    
 1284 2  1284.0      5.0000    
 1285 2  1285.0      1.0000    
 1286 2  1286.0      1.0000    
 1287 2  1287.0      8.0000    
 1288 2  1288.0      4.0000    
 1289 2  1289.0      5.0000    
 1290 2  1290.0      2.0000    
 1291 2  1291.0      1.0000    
 1292 2  1292.0      5.0000    
 1293 2  1293.0      1.0000    
 1294 2  1294.0      4.0000    
 1295 2  1295.0      4.0000    
 1296 2  1296.0      6.0000    
 1297 2  1297.0      6.0000    
 1298 2  1298.0      2.0000    
 1299 2  1299.0      4.0000    
 1300 2  1300.0      7.0000    
 1301 2  1301.0      2.0000    
 1302 2  1302.0      3.0000    
 1303 2  1303.0      3.0000    
 1304 2  1304.0      3.0000    
 1305 2  1305.0      3.0000    
 1306 2  1306.0      3.0000    
 1307 2  1307.0      2.0000    
 1308 2  1308.0      8.0000    
 1309 2  1309.0      8.0000    
 1310 2  1310.0      8.0000    
 1311 2  1311.0      8.0000    
 1312 2  1312.0      8.0000    
 1313 2  1313.0      2.0000    
 1314 2  1314.0      4.0000    
 1315 2  1315.0      2.0000    
 1316 2  1316.0      2.0000    
 1317 2  1317.0      5.0000    
 1318 2  1318.0      5.0000    
 1319 2  1319.0      4.0000    
 1320 2  1320.0      3.0000    
 1321 2  1321.0      3.0000    
 1322 2  1322.0      3.0000    
 1323 2  1323.0      3.0000    
 1324 2  1324.0      3.0000    
 1325 2  1325.0      5.0000    
 1326 2  1326.0      8.0000    
 1327 2  1327.0      8.0000    
 1328 2  1328.0      8.0000    
 1329 2  1329.0      8.0000    
 1330 2  1330.0      8.0000    
 1331 2  1331.0      1.0000    
 1332 2  1332.0      1.0000    
 1333 2  1333.0      6.0000    
 1334 2  1334.0      6.0000    
 1335 2  1335.0      6.0000    
 1336 2  1336.0      6.0000    
 1337 2  1337.0      4.0000    
 1338 2  1338.0      2.0000    
 1339 2  1339.0      5.0000    
 1340 2  1340.0      2.0000    
 1341 2  1341.0      2.0000    
 1342 2  1342.0      1.0000    
 1343 2  1343.0      1.0000    
 1344 2  1344.0      4.0000    
 1345 2  1345.0      2.0000    
 1346 2  1346.0      5.0000    
 1347 2  1347.0      4.0000    
 1348 2  1348.0      1.0000    
 1349 2  1349.0      2.0000    
 1350 2  1350.0      4.0000    
 1351 2  1351.0      5.0000    
 1352 2  1352.0      2.0000    
 1353 2  1353.0      5.0000    
 1354 2  1354.0      7.0000    
 1355 2  1355.0      2.0000    
 1356 2  1356.0      3.0000    
 1357 2  1357.0      6.0000    
 1358 2  1358.0      6.0000    
 1359 2  1359.0      2.0000    
 1360 2  1360.0      2.0000    
 1361 2  1361.0      2.0000    
 1362 2  1362.0      1.0000    
 1363 2  1363.0      3.0000    
 1364 2  1364.0      3.0000    
 1365 2  1365.0      3.0000    
 1366 2  1366.0      3.0000    
 1367 2  1367.0      3.0000    
 1368 2  1368.0      5.0000    
 1369 2  1369.0      8.0000    
 1370 2  1370.0      8.0000    
 1371 2  1371.0      8.0000    
 1372 2  1372.0      8.0000    
 1373 2  1373.0      8.0000    
 1374 2  1374.0      1.0000    
 1375 2  1375.0      5.0000    
 1376 2  1376.0      1.0000    
 1377 2  1377.0      5.0000    
 1378 2  1378.0      5.0000    
 1379 2  1379.0      4.0000    
 1380 2  1380.0      5.0000    
 1381 2  1381.0      3.0000    
 1382 2  1382.0      3.0000    
 1383 2  1383.0      3.0000    
 1384 2  1384.0      3.0000    
 1385 2  1385.0      3.0000    
 1386 2  1386.0      4.0000    
 1387 2  1387.0      8.0000    
 1388 2  1388.0      8.0000    
 1389 2  1389.0      8.0000    
 1390 2  1390.0      8.0000    
 1391 2  1391.0      8.0000    
 1392 2  1392.0      2.0000    
 1393 2  1393.0      2.0000    
 1394 2  1394.0      2.0000    
 1395 2  1395.0      6.0000    
 1396 2  1396.0      6.0000    
 1397 2  1397.0      6.0000    
 1398 2  1398.0      1.0000    
 1399 2  1399.0      5.0000    
 1400 2  1400.0      2.0000    
 1401 2  1401.0      8.0000    
 1402 2  1402.0      5.0000    
 1403 2  1403.0      2.0000    
 1404 2  1404.0      1.0000    
 1405 2  1405.0      1.0000    
 1406 2  1406.0      1.0000    
 1407 2  1407.0      1.0000    
 1408 2  1408.0      1.0000    
 1409 2  1409.0      2.0000    
 1410 2  1410.0      4.0000    
 1411 2  1411.0      5.0000    
 1412 2  1412.0      5.0000    
 1413 2  1413.0      4.0000    
 1414 2  1414.0      4.0000    
 1415 2  1415.0      4.0000    
 1416 2  1416.0      2.0000    
 1417 2  1417.0      2.0000    
 1418 2  1418.0      6.0000    
 1419 2  1419.0      6.0000    
 1420 2  1420.0      2.0000    
 1421 2  1421.0      5.0000    
 1422 2  1422.0      2.0000    
 1423 2  1423.0      1.0000    
 1424 2  1424.0      1.0000    
 1425 2  1425.0      3.0000    
 1426 2  1426.0      3.0000    
 1427 2  1427.0      3.0000    
 1428 2  1428.0      3.0000    
 1429 2  1429.0      1.0000    
 1430 2  1430.0      8.0000    
 1431 2  1431.0      8.0000    
 1432 2  1432.0      8.0000    
 1433 2  1433.0      8.0000    
 1434 2  1434.0      1.0000    
 1435 2  1435.0      1.0000    
 1436 2  1436.0      1.0000    
 1437 2  1437.0      1.0000    
 1438 2  1438.0      1.0000    
 1439 2  1439.0      2.0000    
 1440 2  1440.0      5.0000    
 1441 2  1441.0      2.0000    
 1442 2  1442.0      2.0000    
 1443 2  1443.0      3.0000    
 1444 2  1444.0      3.0000    
 1445 2  1445.0      3.0000    
 1446 2  1446.0      3.0000    
 1447 2  1447.0      2.0000    
 1448 2  1448.0      8.0000    
 1449 2  1449.0      8.0000    
 1450 2  1450.0      8.0000    
 1451 2  1451.0      8.0000    
 1452 2  1452.0      2.0000    
 1453 2  1453.0      2.0000    
 1454 2  1454.0      4.0000    
 1455 2  1455.0      2.0000    
 1456 2  1456.0      6.0000    
 1457 2  1457.0      6.0000    
 1458 2  1458.0      6.0000    
 1459 2  1459.0      1.0000    
 1460 2  1460.0      4.0000    
 1461 2  1461.0      1.0000    
 1462 2  1462.0      1.0000    
 1463 2  1463.0      4.0000    
 1464 2  1464.0      3.0000    
 1465 2  1465.0      5.0000    
 1466 2  1466.0      4.0000    
 1467 2  1467.0      1.0000    
 1468 2  1468.0      5.0000    
 1469 2  1469.0      2.0000    
 1470 2  1470.0      1.0000    
 1471 2  1471.0      1.0000    
 1472 2  1472.0      1.0000    
 1473 2  1473.0      1.0000    
 1474 2  1474.0      2.0000    
 1475 2  1475.0      1.0000    
 1476 2  1476.0      2.0000    
 1477 2  1477.0      2.0000    
 1478 2  1478.0      4.0000    
 1479 2  1479.0      6.0000    
 1480 2  1480.0      6.0000    
 1481 2  1481.0      2.0000    
 1482 2  1482.0      1.0000    
 1483 2  1483.0      1.0000    
 1484 2  1484.0      1.0000    
 1485 2  1485.0      5.0000    
 1486 2  1486.0      1.0000    
 1487 2  1487.0      5.0000    
 1488 2  1488.0      1.0000    
 1489 2  1489.0      1.0000    
 1490 2  1490.0      4.0000    
 1491 2  1491.0      1.0000    
 1492 2  1492.0      4.0000    
 1493 2  1493.0      4.0000    
 1494 2  1494.0      5.0000    
 1495 2  1495.0      5.0000    
 1496 2  1496.0      4.0000    
 1497 2  1497.0      1.0000    
 1498 2  1498.0      2.0000    
 1499 2  1499.0      1.0000    
 1500 2  1500.0      5.0000    
 1501 2  1501.0      5.0000    
 1502 2  1502.0      2.0000    
 1503 2  1503.0      1.0000    
 1504 2  1504.0      2.0000    
 1505 2  1505.0      2.0000    
 1506 2  1506.0      1.0000    
 1507 2  1507.0      4.0000    
 1508 2  1508.0      4.0000    
 1509 2  1509.0      5.0000    
 1510 2  1510.0      1.0000    
 1511 2  1511.0      5.0000    
 1512 2  1512.0      5.0000    
 1513 2  1513.0      5.0000    
 1514 2  1514.0      1.0000    
 1515 2  1515.0      1.0000    
 1516 2  1516.0      2.0000    
 1517 2  1517.0      6.0000    
 1518 2  1518.0      6.0000    
 1519 2  1519.0      6.0000    
 1520 2  1520.0      2.0000    
 1521 2  1521.0      2.0000    
 1522 2  1522.0      2.0000    
 1523 2  1523.0      2.0000    
 1524 2  1524.0      5.0000    
 1525 2  1525.0      2.0000    
 1526 2  1526.0      4.0000    
 1527 2  1527.0      4.0000    
 1528 2  1528.0      4.0000    
 1529 2  1529.0      1.0000    
 1530 2  1530.0      8.0000    
 1531 2  1531.0      2.0000    
 1532 2  1532.0      1.0000    
 1533 2  1533.0      2.0000    
 1534 2  1534.0      4.0000    
 1535 2  1535.0      5.0000    
 1536 2  1536.0      8.0000    
 1537 2  1537.0      5.0000    
 1538 2  1538.0      5.0000    
 1539 2  1539.0      2.0000    
 1540 2  1540.0      6.0000    
 1541 2  1541.0      6.0000    
 1542 2  1542.0      2.0000    
 1543 2  1543.0      2.0000    
 1544 2  1544.0      1.0000    
 1545 2  1545.0      1.0000    
 1546 2  1546.0      4.0000    
 1547 2  1547.0      1.0000    
 1548 2  1548.0      1.0000    
 1549 2  1549.0      1.0000    
 1550 2  1550.0      2.0000    
 1551 2  1551.0      4.0000    
 1552 2  1552.0      5.0000    
 1553 2  1553.0      2.0000    
 1554 2  1554.0      5.0000    
 1555 2  1555.0      2.0000    
 1556 2  1556.0      2.0000    
 1557 2  1557.0      1.0000    
 1558 2  1558.0      2.0000    
 1559 2  1559.0      1.0000    
 1560 2  1560.0      1.0000    
 1561 2  1561.0      4.0000    
 1562 2  1562.0      4.0000    
 1563 2  1563.0      5.0000    
 1564 2  1564.0      2.0000    
 1565 2  1565.0      5.0000    
 1566 2  1566.0      4.0000    
 1567 2  1567.0      4.0000    
 1568 2  1568.0      5.0000    
 1569 2  1569.0      1.0000    
 1570 2  1570.0      1.0000    
 1571 2  1571.0      1.0000    
 1572 2  1572.0      1.0000    
 1573 2  1573.0      5.0000    
 1574 2  1574.0      5.0000    
 1575 2  1575.0      5.0000    
 1576 2  1576.0      4.0000    
 1577 2  1577.0      4.0000    
 1578 2  1578.0      6.0000    
 1579 2  1579.0      6.0000    
 1580 2  1580.0      6.0000    
 1581 2  1581.0      7.0000    
 1582 2  1582.0      1.0000    
 1583 2  1583.0      1.0000    
 1584 2  1584.0      5.0000    
 1585 2  1585.0      2.0000    
 1586 2  1586.0      5.0000    
 1587 2  1587.0      1.0000    
 1588 2  1588.0      5.0000    
 1589 2  1589.0      5.0000    
 1590 2  1590.0      5.0000    
 1591 2  1591.0      7.0000    
 1592 2  1592.0      1.0000    
 1593 2  1593.0      8.0000    
 1594 2  1594.0      4.0000    
 1595 2  1595.0      2.0000    
 1596 2  1596.0      1.0000    
 1597 2  1597.0      1.0000    
 1598 2  1598.0      1.0000    
 1599 2  1599.0      4.0000    
 1600 2  1600.0      1.0000    
 1601 2  1601.0      6.0000    
 1602 2  1602.0      6.0000    
 1603 2  1603.0      2.0000    
 1604 2  1604.0      4.0000    
 1605 2  1605.0      1.0000    
 1606 2  1606.0      1.0000    
 1607 2  1607.0      2.0000    
 1608 2  1608.0      5.0000    
 1609 2  1609.0      1.0000    
 1610 2  1610.0      2.0000    
 1611 2  1611.0      2.0000    
 1612 2  1612.0      5.0000    
 1613 2  1613.0      5.0000    
 1614 2  1614.0      1.0000    
 1615 2  1615.0      4.0000    
 1616 2  1616.0      5.0000    
 1617 2  1617.0      2.0000    
 1618 2  1618.0      5.0000    
 1619 2  1619.0      5.0000    
 1620 2  1620.0      1.0000    
 1621 2  1621.0      2.0000    
 1622 2  1622.0      2.0000    
 1623 2  1623.0      2.0000    
 1624 2  1624.0      2.0000    
 1625 2  1625.0      2.0000    
 1626 2  1626.0      4.0000    
 1627 2  1627.0      2.0000    
 1628 2  1628.0      1.0000    
 1629 2  1629.0      5.0000    
 1630 2  1630.0      2.0000    
 1631 2  1631.0      5.0000    
 1632 2  1632.0      5.0000    
 1633 2  1633.0      2.0000    
 1634 2  1634.0      2.0000    
 1635 2  1635.0      1.0000    
 1636 2  1636.0      5.0000    
 1637 2  1637.0      2.0000    
 1638 2  1638.0      2.0000    
 1639 2  1639.0      6.0000    
 1640 2  1640.0      6.0000    
 1641 2  1641.0      6.0000    
 1642 2  1642.0      1.0000    
 1643 2  1643.0      4.0000    
 1644 2  1644.0      8.0000    
 1645 2  1645.0      2.0000    
 1646 2  1646.0      1.0000    
 1647 2  1647.0      1.0000    
 1648 2  1648.0      5.0000    
 1649 2  1649.0      5.0000    
 1650 2  1650.0      5.0000    
 1651 2  1651.0      1.0000    
 1652 2  1652.0      5.0000    
 1653 2  1653.0      2.0000    
 1654 2  1654.0      4.0000    
 1655 2  1655.0      1.0000    
 1656 2  1656.0      4.0000    
 1657 2  1657.0      7.0000    
 1658 2  1658.0      4.0000    
 1659 2  1659.0      1.0000    
 1660 2  1660.0      4.0000    
 1661 2  1661.0      5.0000    
 1662 2  1662.0      2.0000    
 1663 2  1663.0      6.0000    
 1664 2  1664.0      6.0000    
 1665 2  1665.0      4.0000    
 1666 2  1666.0      1.0000    
 1667 2  1667.0      1.0000    
 1668 2  1668.0      5.0000    
 1669 2  1669.0      4.0000    
 1670 2  1670.0      1.0000    
 1671 2  1671.0      5.0000    
 1672 2  1672.0      1.0000    
 1673 2  1673.0      1.0000    
 1674 2  1674.0      2.0000    
 1675 2  1675.0      2.0000    
 1676 2  1676.0      2.0000    
 1677 2  1677.0      5.0000    
 1678 2  1678.0      1.0000    
 1679 2  1679.0      5.0000    
 1680 2  1680.0      5.0000    
 1681 2  1681.0      2.0000    
 1682 2  1682.0      5.0000    
 1683 2  1683.0      4.0000    
 1684 2  1684.0      5.0000    
 1685 2  1685.0      1.0000    
 1686 2  1686.0      4.0000    
 1687 2  1687.0      2.0000    
 1688 2  1688.0      4.0000    
 1689 2  1689.0      2.0000    
 1690 2  1690.0      2.0000    
 1691 2  1691.0      1.0000    
 1692 2  1692.0      1.0000    
 1693 2  1693.0      5.0000    
 1694 2  1694.0      2.0000    
 1695 2  1695.0      2.0000    
 1696 2  1696.0      1.0000    
 1697 2  1697.0      2.0000    
 1698 2  1698.0      1.0000    
 1699 2  1699.0      2.0000    
 1700 2  1700.0      6.0000    
 1701 2  1701.0      6.0000    
 1702 2  1702.0      6.0000    
 1703 2  1703.0      7.0000    
 1704 2  1704.0      4.0000    
 1705 2  1705.0      1.0000    
 1706 2  1706.0      1.0000    
 1707 2  1707.0      4.0000    
 1708 2  1708.0      1.0000    
 1709 2  1709.0      1.0000    
 1710 2  1710.0      4.0000    
 1711 2  1711.0      5.0000    
 1712 2  1712.0      4.0000    
 1713 2  1713.0      3.0000    
 1714 2  1714.0      7.0000    
 1715 2  1715.0      1.0000    
 1716 2  1716.0      1.0000    
 1717 2  1717.0      1.0000    
 1718 2  1718.0      5.0000    
 1719 2  1719.0      2.0000    
 1720 2  1720.0      5.0000    
 1721 2  1721.0      5.0000    
 1722 2  1722.0      1.0000    
 1723 2  1723.0      6.0000    
 1724 2  1724.0      6.0000    
 1725 2  1725.0      2.0000    
 1726 2  1726.0      2.0000    
 1727 2  1727.0      4.0000    
 1728 2  1728.0      2.0000    
 1729 2  1729.0      5.0000    
 1730 2  1730.0      2.0000    
 1731 2  1731.0      1.0000    
 1732 2  1732.0      4.0000    
 1733 2  1733.0      2.0000    
 1734 2  1734.0      5.0000    
 1735 2  1735.0      2.0000    
 1736 2  1736.0      5.0000    
 1737 2  1737.0      5.0000    
 1738 2  1738.0      1.0000    
 1739 2  1739.0      4.0000    
 1740 2  1740.0      1.0000    
 1741 2  1741.0      1.0000    
 1742 2  1742.0      5.0000    
 1743 2  1743.0      4.0000    
 1744 2  1744.0      2.0000    
 1745 2  1745.0      5.0000    
