 ;spi/dat   09-SEP-2008 AT 11:01:01   power/ctf004.dat
    1 4   0.0000      2.53149E-04   0.0000       0.0000     
    2 4  7.09220E-04  2.52866E-04  2.82540E-07  1.35333E-05 
    3 4  1.41844E-03  2.52608E-04  5.40196E-07  2.71933E-05 
    4 4  2.12766E-03  2.52375E-04  7.73056E-07  4.09349E-05 
    5 4  2.83688E-03  2.52167E-04  9.81643E-07  5.47101E-05 
    6 4  3.54610E-03  2.51983E-04  1.16506E-06  6.84675E-05 
    7 4  4.25532E-03  2.51825E-04  1.32385E-06  8.21539E-05 
    8 4  4.96454E-03  2.51690E-04  1.45854E-06  9.57143E-05 
    9 4  5.67376E-03  2.51580E-04  1.56870E-06  1.09092E-04 
   10 4  6.38298E-03  2.51495E-04  1.65409E-06  1.22227E-04 
   11 4  7.09220E-03  2.51434E-04  1.71477E-06  1.35063E-04 
   12 4  7.80142E-03  2.51397E-04  1.75147E-06  1.47538E-04 
   13 4  8.51064E-03  2.51385E-04  1.76369E-06  1.59593E-04 
   14 4  9.21986E-03  2.51397E-04  1.75170E-06  1.71169E-04 
   15 4  9.92908E-03  2.51434E-04  1.71477E-06  1.82207E-04 
   16 4  1.06383E-02  2.51495E-04  1.65385E-06  1.92652E-04 
   17 4  1.13475E-02  2.51580E-04  1.56846E-06  2.02447E-04 
   18 4  1.20567E-02  2.51690E-04  1.45854E-06  2.11541E-04 
   19 4  1.27660E-02  2.51825E-04  1.32408E-06  2.19884E-04 
   20 4  1.34752E-02  2.51984E-04  1.16482E-06  2.27429E-04 
   21 4  1.41844E-02  2.52167E-04  9.81381E-07  2.34133E-04 
   22 4  1.48936E-02  2.52375E-04  7.73056E-07  2.39959E-04 
   23 4  1.56028E-02  2.52609E-04  5.40196E-07  2.44871E-04 
   24 4  1.63121E-02  2.52866E-04  2.82307E-07  2.48842E-04 
   25 4  1.70213E-02  2.53149E-04   0.0000      2.51845E-04 
   26 4  1.77305E-02  2.53456E-04  1.65995E-04  2.53862E-04 
   27 4  1.84397E-02  2.53789E-04  2.54881E-04  2.54881E-04 
   28 4  1.91489E-02  2.54146E-04  2.44742E-04  2.54892E-04 
   29 4  1.98582E-02  2.54529E-04  2.41753E-04  2.53894E-04 
   30 4  2.05674E-02  2.54937E-04  2.40173E-04  2.51890E-04 
   31 4  2.12766E-02  2.55371E-04  2.35561E-04  2.48888E-04 
   32 4  2.19858E-02  2.55830E-04  2.33305E-04  2.44905E-04 
   33 4  2.26950E-02  2.56315E-04  2.31143E-04  2.39960E-04 
   34 4  2.34043E-02  2.56826E-04  2.25751E-04  2.34078E-04 
   35 4  2.41135E-02  2.57363E-04  2.19133E-04  2.27290E-04 
   36 4  2.48227E-02  2.57926E-04  2.16872E-04  2.19631E-04 
   37 4  2.55319E-02  2.58515E-04  2.07384E-04  2.07384E-04 
   38 4  2.62411E-02  2.59131E-04  1.96034E-04  1.96446E-04 
   39 4  2.69504E-02  2.59773E-04  1.86335E-04  1.86636E-04 
   40 4  2.76596E-02  2.60443E-04  1.77801E-04  1.77801E-04 
   41 4  2.83688E-02  2.61139E-04  1.64631E-04  1.69807E-04 
   42 4  2.90780E-02  2.61863E-04  1.53035E-04  1.62541E-04 
   43 4  2.97872E-02  2.62614E-04  1.39658E-04  1.55902E-04 
   44 4  3.04965E-02  2.63393E-04  1.25799E-04  1.49806E-04 
   45 4  3.12057E-02  2.64200E-04  1.12266E-04  1.44177E-04 
   46 4  3.19149E-02  2.65035E-04  1.01278E-04  1.38949E-04 
   47 4  3.26241E-02  2.65899E-04  8.95559E-05  1.34067E-04 
   48 4  3.33333E-02  2.66791E-04  7.57083E-05  1.29479E-04 
   49 4  3.40426E-02  2.67712E-04  6.48084E-05  1.25142E-04 
   50 4  3.47518E-02  2.68663E-04  5.59988E-05  1.21018E-04 
   51 4  3.54610E-02  2.69643E-04  4.91580E-05  1.17073E-04 
   52 4  3.61702E-02  2.70653E-04  4.49081E-05  1.13279E-04 
   53 4  3.68794E-02  3.12235E-04   0.0000      6.90672E-05 
   54 4  3.75887E-02  3.11673E-04  1.30999E-06  6.71326E-05 
   55 4  3.82979E-02  3.11113E-04  4.46022E-06  6.53090E-05 
   56 4  3.90071E-02  3.10557E-04  1.01418E-05  6.35799E-05 
   57 4  3.97163E-02  3.10003E-04  1.78698E-05  6.19318E-05 
   58 4  4.04255E-02  3.09451E-04  2.42464E-05  6.03530E-05 
   59 4  4.11348E-02  3.08902E-04  3.15002E-05  5.88323E-05 
   60 4  4.18440E-02  3.08355E-04  3.68237E-05  5.73625E-05 
   61 4  4.25532E-02  3.07810E-04  4.32679E-05  5.59359E-05 
   62 4  4.32624E-02  3.07266E-04  4.64320E-05  5.45476E-05 
   63 4  4.39716E-02  3.06723E-04  4.90333E-05  5.37636E-05 
   64 4  4.46809E-02  3.06182E-04  5.13863E-05  5.21303E-05 
   65 4  4.53901E-02  3.05642E-04  5.05658E-05  5.05658E-05 
   66 4  4.60993E-02  3.05104E-04  4.61205E-05  4.90661E-05 
   67 4  4.68085E-02  3.04566E-04  4.20696E-05  4.76289E-05 
   68 4  4.75177E-02  3.04029E-04  3.51829E-05  4.62503E-05 
   69 4  4.82269E-02  3.03492E-04  2.97624E-05  4.49279E-05 
   70 4  4.89362E-02  3.02957E-04  2.00949E-05  4.36584E-05 
   71 4  4.96454E-02  3.02421E-04  1.31605E-05  4.24398E-05 
   72 4  5.03546E-02  3.01887E-04  7.02322E-06  4.12689E-05 
   73 4  5.10638E-02  3.01352E-04  2.13771E-06  4.01436E-05 
   74 4  5.17730E-02  3.01097E-04  6.77828E-08  3.87822E-05 
   75 4  5.24823E-02  3.00283E-04   0.0000      3.80210E-05 
   76 4  5.31915E-02  2.99528E-04  3.05742E-06  3.72406E-05 
   77 4  5.39007E-02  2.98825E-04  7.00823E-06  3.64453E-05 
   78 4  5.46099E-02  2.98167E-04  1.15428E-05  3.56400E-05 
   79 4  5.53191E-02  2.97549E-04  1.75272E-05  3.48277E-05 
   80 4  5.60284E-02  2.96965E-04  2.26176E-05  3.40129E-05 
   81 4  5.67376E-02  2.96411E-04  2.98682E-05  3.31980E-05 
   82 4  5.74468E-02  2.95882E-04  3.10469E-05  3.23866E-05 
   83 4  5.81560E-02  2.95376E-04  3.15804E-05  3.15804E-05 
   84 4  5.88652E-02  2.94886E-04  2.97810E-05  3.07824E-05 
   85 4  5.95745E-02  2.94411E-04  2.65178E-05  2.99938E-05 
   86 4  6.02837E-02  2.93947E-04  2.30001E-05  2.92166E-05 
   87 4  6.09929E-02  2.93493E-04  1.75590E-05  2.84524E-05 
   88 4  6.17021E-02  2.93044E-04  1.17276E-05  2.77022E-05 
   89 4  6.24113E-02  2.92600E-04  5.36951E-06  2.69676E-05 
   90 4  6.31206E-02  2.92158E-04  1.15382E-06  2.62493E-05 
   91 4  6.38298E-02  2.91717E-04   0.0000      2.55476E-05 
   92 4  6.45390E-02  2.91275E-04  1.57399E-06  2.48639E-05 
   93 4  6.52482E-02  2.90831E-04  4.24823E-06  2.41972E-05 
   94 4  6.59574E-02  2.90384E-04  7.18777E-06  2.35490E-05 
   95 4  6.66667E-02  2.89933E-04  1.18490E-05  2.29196E-05 
   96 4  6.73759E-02  2.89477E-04  1.58849E-05  2.23082E-05 
   97 4  6.80851E-02  2.89015E-04  1.78628E-05  2.17153E-05 
   98 4  6.87943E-02  2.88547E-04  2.01046E-05  2.11407E-05 
