 ;tom/dat   08-DEC-2004 AT 15:50:00   viewerror_1.dat
    1 1   1.0486     
    2 1   1.3366     
    3 1  0.93538     
    4 1   1.4067     
    5 1  0.89455     
    6 1  0.75455     
    7 1  0.58284     
    8 1  0.66239     
    9 1  0.74344     
   10 1  0.79005     
   11 1  0.74465     
   12 1  0.57728     
   13 1  0.55050     
   14 1   1.1230     
   15 1  0.32873     
   16 1  0.48586     
   17 1  0.64343     
   18 1  0.84233     
   19 1  0.89345     
   20 1  0.79674     
   21 1  0.54357     
   22 1  0.81408     
   23 1  0.59204     
   24 1  0.28842     
   25 1  0.41233     
   26 1  0.56517     
   27 1  0.87018     
   28 1  0.65464     
   29 1  0.86399     
   30 1  0.68649     
   31 1  0.74385     
   32 1  0.53848     
   33 1  0.61570     
   34 1  0.33532     
   35 1  0.65232     
   36 1  0.55966     
   37 1   1.0703     
   38 1  0.58207     
   39 1  0.63644     
   40 1  0.47169     
   41 1  0.51082     
   42 1  0.58020     
   43 1  0.73246     
   44 1  0.99520     
   45 1  0.84855     
   46 1  0.62161     
   47 1  0.63782     
   48 1  0.87745     
   49 1   1.0547     
   50 1  0.88655     
   51 1  0.54536     
   52 1  0.95808     
   53 1  0.56017     
   54 1  0.84610     
   55 1  0.69607     
   56 1  0.98655     
   57 1  0.74794     
   58 1   1.2285     
   59 1  0.84591     
   60 1   1.2794     
   61 1   1.1221     
 ;  1 1  0.79524    
