 ;tom/dat   08-DEC-2004 AT 15:50:04   errors_2.dat
    1 1  0.89696     
    2 1  0.83531     
    3 1  0.90925     
    4 1  0.98020     
    5 1  0.85879     
    6 1  0.87377     
 ;  1 1  0.89357    
